iso3c,year,Total_Access,Urban_Access,Rural_Access,Country Name,BEC (toe/m2),BCE (tCO2e/m2),DBE (tCO2e/m2),total_building_stock_m2,Building Energy Consumption (toe),Building Carbon Emissions (tCO2e),Direct Building Emissions (tCO2e)
UGA,2040,0.848587722,2.04776516,0.365396894,Uganda,NA,NA,NA,138714054.96796718,NA,NA,NA
UGA,2041,0.856794517,2.066910689,0.369017558,Uganda,NA,NA,NA,146612318.89973515,NA,NA,NA
UGA,2042,0.865080682,2.086235218,0.372674099,Uganda,NA,NA,NA,154960303.4683216,NA,NA,NA
UGA,2043,0.873446983,2.105740422,0.376366873,Uganda,NA,NA,NA,163783615.39602995,NA,NA,NA
UGA,2044,0.881894196,2.125427989,0.380096237,Uganda,NA,NA,NA,173109319.4308212,NA,NA,NA
UGA,2045,0.890423102,2.145299625,0.383862555,Uganda,NA,NA,NA,182966021.36509243,NA,NA,NA
UGA,2046,0.899034493,2.16535705,0.387666193,Uganda,NA,NA,NA,192872430.93041497,NA,NA,NA
UGA,2047,0.907729166,2.185602001,0.391507521,Uganda,NA,NA,NA,203315207.57495654,NA,NA,NA
UGA,2048,0.916507926,2.206036232,0.395386912,Uganda,NA,NA,NA,214323392.05680135,NA,NA,NA
UGA,2049,0.925371586,2.226661513,0.399304743,Uganda,NA,NA,NA,225927597.50053924,NA,NA,NA
UGA,2050,0.934320968,2.247479629,0.403261396,Uganda,NA,NA,NA,238160094.53059548,NA,NA,NA
UKR,2020,95.2,99,88.1,Ukraine,0.0050619518177380364,0.15605902165711769,0.05882598635673285,411382817.33596843,2082400,64199999.999999985,24200000
UKR,2021,99.75499122,100,96.45322662,Ukraine,0.0050619518177380364,0.15605902165711769,0.05882598635673285,420464750.1487658,2128372.306310314,65617317.54952082,24734253.655738384
UKR,2022,100,100,100,Ukraine,0.0050619518177380364,0.15605902165711769,0.05882598635673285,429747181.1353816,2175359.524716042,67065924.64789179,25280301.814314358
UKR,2023,100,100,100,Ukraine,0.0050619518177380364,0.15605902165711769,0.05882598635673285,439234536.6132676,2223384.061022854,68546512.06188399,25838404.858217955
UKR,2024,100,100,100,Ukraine,0.0050619518177380364,0.15605902165711769,0.05882598635673285,448931340.61790365,2272468.815680371,70059785.80804831,26408828.918298587
UKR,2025,100,100,100,Ukraine,0.0050619518177380364,0.15605902165711769,0.05882598635673285,458842217.0600791,2322637.1947022183,71606467.48937878,26991846.000669267
UKR,2026,100,100,100,Ukraine,0.0050619518177380364,0.15605902165711769,0.05882598635673285,473294630.3201185,2395794.614274576,73861896.96332487,27842023.465926208
UKR,2027,100,100,100,Ukraine,0.0050619518177380364,0.15605902165711769,0.05882598635673285,488202259.4283797,2471256.314537303,76188366.97718729,28718979.452460017
UKR,2028,100,100,100,Ukraine,0.0050619518177380364,0.15605902165711769,0.05882598635673285,503579442.5763289,2549094.874724755,78588115.13509856,29623557.418526255
UKR,2029,100,100,100,Ukraine,0.0050619518177380364,0.15605902165711769,0.05882598635673285,519440969.5735722,2629385.160140552,81063449.52027632,30556627.38926304
UKR,2030,100,100,100,Ukraine,0.0050619518177380364,0.15605902165711769,0.05882598635673285,535802096.0727272,2712204.3941631913,83616750.91494279,31519086.793483112
UKR,2031,100,100,100,Ukraine,0.0050619518177380364,0.15605902165711769,0.05882598635673285,551127403.15187,2789780.360189852,86008403.34430872,32420613.09863351
UKR,2032,100,100,100,Ukraine,0.0050619518177380364,0.15605902165711769,0.05882598635673285,566891053.1169245,2869575.196784646,88468463.13560037,33347925.35641012
UKR,2033,100,100,100,Ukraine,0.0050619518177380364,0.15605902165711769,0.05882598635673285,583105583.6928861,2951652.3693074035,90998886.91391437,34301761.110852465
UKR,2034,100,100,100,Ukraine,0.0050619518177380364,0.15605902165711769,0.05882598635673285,599783891.2156761,3036077.158389184,93601687.26881751,35282879.0016415
UKR,2035,100,100,100,Ukraine,0.0050619518177380364,0.15605902165711769,0.05882598635673285,616939240.8893282,3122916.7118536592,96278934.35507342,36292059.36748874
UKR,2036,100,100,100,Ukraine,0.0050619518177380364,0.15605902165711769,0.05882598635673285,632707946.0799361,3202737.137756632,98739783.05991921,37219669.00389478
UKR,2037,100,100,100,Ukraine,0.0050619518177380364,0.15605902165711769,0.05882598635673285,648879692.6835526,3284597.7398728076,101263530.0133664,38170987.94896367
UKR,2038,100,100,100,Ukraine,0.0050619518177380364,0.15605902165711769,0.05882598635673285,665464782.2676578,3368550.6642404166,103851782.8679575,39146622.20256343
UKR,2039,100,100,100,Ukraine,0.0050619518177380364,0.15605902165711769,0.05882598635673285,682473779.7034252,3454649.389728301,106506190.3671518,40147193.25366159
UKR,2040,100,100,100,Ukraine,0.0050619518177380364,0.15605902165711769,0.05882598635673285,699917519.8956523,3542948.7621024954,109228443.3955917,41173338.47621994
UKR,2041,100,100,100,Ukraine,0.0050619518177380364,0.15605902165711769,0.05882598635673285,715314809.0633901,3620889.097993364,111631329.2792806,42079099.19873195
UKR,2042,100,100,100,Ukraine,0.0050619518177380364,0.15605902165711769,0.05882598635673285,731050818.8760267,3700544.0214683837,114087075.57542747,43004785.497279525
UKR,2043,100,100,100,Ukraine,0.0050619518177380364,0.15605902165711769,0.05882598635673285,747133000.7540057,3781951.251258813,116596845.14541669,43950835.70902001
UKR,2044,100,100,100,Ukraine,0.0050619518177380364,0.15605902165711769,0.05882598635673285,763568970.0394783,3865149.3358596973,119161826.432094,44917697.8139669
UKR,2045,100,100,100,Ukraine,0.0050619518177380364,0.15605902165711769,0.05882598635673285,780366509.6023716,3950177.6717836116,121783234.02252585,45905829.64712034
UKR,2046,100,100,100,Ukraine,0.0050619518177380364,0.15605902165711769,0.05882598635673285,796023458.4695889,4029432.392562254,124226642.1448793,46826865.10757133
