"","Country Name","iso3c","Population","year","Average household size (number of members)","gdp_ppp","GDP","average_household_size","num_households","gdp_per_capita","avg_m2_capita","residential_building_stock_m2","total_building_stock_m2"
"3939","Qatar","QAT",2695122,2022,4.67,274.758947546243,274758947546.243,4.67,577113.91862955,101946.756972873,101.946756972873,274758947.546243,549517895.092485
"3940","Qatar","QAT",2716391,2023,4.67,287.01089256698,287010892566.98,4.67,581668.308351178,105658.902774667,105.658902774667,287010892.56698,574021785.133961
"3941","Qatar","QAT",2737061,2024,4.67,299.809171594788,299809171594.788,4.67,586094.43254818,109536.89800658,109.53689800658,299809171.594788,599618343.189576
"3942","Qatar","QAT",2757220,2025,4.67,313.178146545,313178146545,4.67,590411.13490364,113584.750779771,113.584750779771,313178146.545,626356293.09
"3943","Qatar","QAT",2760385,2020,4.67,251.801767288,251801767288,4.67,591088.86509636,91219.7998786401,91.2197998786401,251801767.288,503603534.576
"3944","Qatar","QAT",2776990,2026,4.67,323.868752461784,323868752461.784,4.67,594644.539614561,116625.825970487,116.625825970487,323868752.461784,647737504.923567
"3945","Qatar","QAT",2796538,2027,4.67,334.924291424276,334924291424.276,4.67,598830.406852248,119763.897870966,119.763897870966,334924291.424276,669848582.848551
"3946","Qatar","QAT",2816020,2028,4.67,346.357220736476,346357220736.476,4.67,603002.141327623,122995.298590378,122.995298590378,346357220.736476,692714441.472952
"3947","Qatar","QAT",2835555,2029,4.67,358.180422943192,358180422943.192,4.67,607185.2248394,126317.572024945,126.317572024945,358180422.943192,716360845.886385
"3948","Qatar","QAT",2855291,2030,4.67,370.407220346,370407220346,4.67,611411.349036403,129726.609422998,129.726609422998,370407220.346,740814440.692
"3949","Qatar","QAT",2875390,2031,4.67,377.969914068346,377969914068.346,4.67,615715.203426124,131449.96472421,131.44996472421,377969914.068346,755939828.136691
"3950","Qatar","QAT",2896022,2032,4.67,385.687017135856,385687017135.856,4.67,620133.190578158,133178.206911362,133.178206911362,385687017.135856,771374034.271712
"3951","Qatar","QAT",2917304,2033,4.67,393.561682161443,393561682161.443,4.67,624690.364025696,134905.955005527,134.905955005527,393561682.161443,787123364.322886
"3952","Qatar","QAT",2939367,2034,4.67,401.597126125678,401597126125.678,4.67,629414.7751606,136627.078594023,136.627078594023,401597126.125678,803194252.251355
"3953","Qatar","QAT",2962241,2035,4.67,409.796631691,409796631691,4.67,634312.847965739,138340.07148338,138.34007148338,409796631.691,819593263.382
"3954","Qatar","QAT",2985916,2036,4.67,416.703631305633,416703631305.633,4.67,639382.44111349,139556.381125803,139.556381125803,416703631.305633,833407262.611265
"3955","Qatar","QAT",3010424,2037,4.67,423.727046332172,423727046332.172,4.67,644630.406852248,140753.278053913,140.753278053913,423727046.332172,847454092.664345
"3956","Qatar","QAT",3035693,2038,4.67,430.868838917555,430868838917.555,4.67,650041.327623126,141934.25979424,141.93425979424,430868838.917555,861737677.83511
"3957","Qatar","QAT",3061640,2039,4.67,438.131004280117,438131004280.117,4.67,655597.430406852,143103.37083397,143.10337083397,438131004.280117,876262008.560233
"3958","Qatar","QAT",3088149,2040,4.67,445.515571267,445515571267,4.67,661273.875802998,144266.216191965,144.266216191965,445515571.267,891031142.534
"3959","Qatar","QAT",3115115,2041,4.67,452.171347312741,452171347312.741,4.67,667048.17987152,145153.982216625,145.153982216625,452171347.312741,904342694.625481
"3960","Qatar","QAT",3142502,2042,4.67,458.92655726748,458926557267.48,4.67,672912.633832976,146038.58876382,146.03858876382,458926557.26748,917853114.534961
"3961","Qatar","QAT",3170142,2043,4.67,465.782686623248,465782686623.248,4.67,678831.263383298,146928.019824742,146.928019824742,465782686.623248,931565373.246496
"3962","Qatar","QAT",3197862,2044,4.67,472.741243064566,472741243064.566,4.67,684767.023554604,147830.407648787,147.830407648787,472741243.064566,945482486.129133
"3963","Qatar","QAT",3225544,2045,4.67,479.8037568,479803756800,4.67,690694.646680942,148751.267011084,148.751267011084,479803756.8,959607513.6
"3964","Qatar","QAT",3253042,2046,4.67,486.638889423084,486638889423.084,4.67,696582.869379015,149595.021958857,149.595021958857,486638889.423084,973277778.846167
"3965","Qatar","QAT",3280240,2047,4.67,493.571393184498,493571393184.498,4.67,702406.852248394,150468.073428925,150.468073428925,493571393.184498,987142786.368997
"3966","Qatar","QAT",3306947,2048,4.67,500.602655202696,500602655202.696,4.67,708125.695931477,151379.098365561,151.379098365561,500602655.202696,1001205310.40539
"3967","Qatar","QAT",3333052,2049,4.67,507.734082356578,507734082356.578,4.67,713715.631691649,152333.081619062,152.333081619062,507734082.356578,1015468164.71316
"3968","Qatar","QAT",3358454,2050,4.67,514.967101567,514967101567,4.67,719155.032119914,153334.570480048,153.334570480048,514967101.567,1029934203.134
"3969","Russian Federation","RUS",131453104,2050,2.58,4427.434788436,4427434788436,2.58,50950815.503876,33680.7169531425,33.6807169531425,4427434788.436,8854869576.872
"3970","Russian Federation","RUS",131867320,2049,2.58,4423.10472814815,4423104728148.15,2.58,51111364.3410853,33542.0840292208,33.5420840292208,4423104728.14815,8846209456.29631
"3971","Russian Federation","RUS",132248280,2048,2.58,4418.7789026877,4418778902687.7,2.58,51259023.2558139,33412.7513997739,33.4127513997739,4418778902.6877,8837557805.37539
"3972","Russian Federation","RUS",132621152,2047,2.58,4414.45730791293,4414457307912.93,2.58,51403547.2868217,33286.223512166,33.286223512166,4414457307.91294,8828914615.82587
"3973","Russian Federation","RUS",132987544,2046,2.58,4410.13993968623,4410139939686.23,2.58,51545559.6899225,33162.0526783037,33.1620526783037,4410139939.68623,8820279879.37247
"3974","Russian Federation","RUS",133359608,2045,2.58,4405.826793874,4405826793874,2.58,51689770.5426357,33037.1906452664,33.0371906452664,4405826793.874,8811653587.748
"3975","Russian Federation","RUS",133743192,2044,2.58,4397.25370841462,4397253708414.62,2.58,51838446.5116279,32878.3367785526,32.8783367785526,4397253708.41462,8794507416.82924
"3976","Russian Federation","RUS",134138992,2043,2.58,4388.69730490797,4388697304907.97,2.58,51991857.3643411,32717.5360383502,32.7175360383502,4388697304.90797,8777394609.81593
"3977","Russian Federation","RUS",134549152,2042,2.58,4380.15755089343,4380157550893.43,2.58,52150834.1085271,32554.3304122306,32.5543304122306,4380157550.89343,8760315101.78687
"3978","Russian Federation","RUS",134977184,2041,2.58,4371.63441397358,4371634413973.58,2.58,52316737.9844961,32387.9509441653,32.3879509441653,4371634413.97358,8743268827.94716
"3979","Russian Federation","RUS",135421760,2040,2.58,4363.127861814,4363127861814,2.58,52489054.2635659,32218.8093096265,32.2188093096265,4363127861.814,8726255723.628
"3980","Russian Federation","RUS",135879072,2039,2.58,4344.95776296699,4344957762966.99,2.58,52666306.9767442,31976.6517316735,31.9766517316735,4344957762.96699,8689915525.93397
"3981","Russian Federation","RUS",136348112,2038,2.58,4326.86333288389,4326863332883.89,2.58,52848105.4263566,31733.943869233,31.733943869233,4326863332.88389,8653726665.76778
"3982","Russian Federation","RUS",136821232,2037,2.58,4308.84425644469,4308844256444.69,2.58,53031485.2713178,31492.5117502574,31.4925117502574,4308844256.44469,8617688512.88938
"3983","Russian Federation","RUS",137303120,2036,2.58,4290.90021984168,4290900219841.68,2.58,53218263.5658915,31251.2943612766,31.2512943612766,4290900219.84168,8581800439.68337
"3984","Russian Federation","RUS",137791520,2035,2.58,4273.030910574,4273030910574,2.58,53407565.8914729,31010.8409470626,31.0108409470626,4273030910.574,8546061821.148
"3985","Russian Federation","RUS",138284752,2034,2.58,4242.54023160855,4242540231608.55,2.58,53598741.0852713,30679.7399586655,30.6797399586655,4242540231.60855,8485080463.2171
"3986","Russian Federation","RUS",138778224,2033,2.58,4212.26712221449,4212267122214.49,2.58,53790009.3023256,30352.5077696231,30.3525077696231,4212267122.21449,8424534244.42898
"3987","Russian Federation","RUS",139263472,2032,2.58,4182.21002990038,4182210029900.38,2.58,53978089.9224806,30030.918875126,30.030918875126,4182210029.90037,8364420059.80075
"3988","Russian Federation","RUS",139737312,2031,2.58,4152.36741325273,4152367413252.73,2.58,54161748.8372093,29715.5237482508,29.7155237482508,4152367413.25273,8304734826.50546
"3989","Russian Federation","RUS",140192288,2030,2.58,4122.737741857,4122737741857,2.58,54338096.124031,29407.7356227826,29.4077356227826,4122737741.857,8245475483.714
"3990","Russian Federation","RUS",140623600,2029,2.58,4063.24182823226,4063241828232.26,2.58,54505271.3178295,28894.4517721937,28.8944517721937,4063241828.23226,8126483656.46453
"3991","Russian Federation","RUS",141029792,2028,2.58,4004.60451002632,4004604510026.32,2.58,54662710.0775194,28395.4507287816,28.3954507287816,4004604510.02632,8009209020.05263
"3992","Russian Federation","RUS",141407264,2027,2.58,3946.81339670596,3946813396705.96,2.58,54809017.0542636,27910.9664175807,27.9109664175807,3946813396.70596,7893626793.41192
"3993","Russian Federation","RUS",141775424,2026,2.58,3889.85627654784,3889856276547.84,2.58,54951714.7286822,27436.7458534128,27.4367458534128,3889856276.54784,7779712553.09568
"3994","Russian Federation","RUS",142149104,2025,2.58,3833.721114058,3833721114058,2.58,55096551.9379845,26969.7170518781,26.9697170518781,3833721114.058,7667442228.116
"3995","Russian Federation","RUS",142572224,2024,2.58,3845.31393101686,3845313931016.86,2.58,55260551.9379845,26970.989321292,26.970989321292,3845313931.01686,7690627862.03371
"3996","Russian Federation","RUS",143036336,2023,2.58,3856.94180357862,3856941803578.62,2.58,55440440.3100775,26964.7693127334,26.9647693127334,3856941803.57862,7713883607.15724
"3997","Russian Federation","RUS",143449286,2021,2.58,3880.303139851,3880303139851,2.58,55600498.4496124,27049.9996761991,27.0499996761991,3880303139.851,7760606279.70199
"3998","Russian Federation","RUS",143555736,2022,2.58,3868.60483774819,3868604837748.19,2.58,55641758.1395349,26948.451838582,26.948451838582,3868604837.74819,7737209675.49638
"3999","Russian Federation","RUS",144073139,2020,2.58,3892.036816534,3892036816534,2.58,55842301.9379845,27014.3126161359,27.0143126161359,3892036816.534,7784073633.068
"4000","Rwanda","RWA",13146362,2020,4.28,26.854844775,26854844775,4.28,3071579.90654206,2042.75865634919,2.04275865634919,26854844.775,53709689.55
"4001","Rwanda","RWA",13461888,2021,4.28,28.8976014201313,28897601420.1313,4.28,3145300.93457944,2146.62322403301,2.14662322403301,28897601.4201313,57795202.8402626
"4002","Rwanda","RWA",13776698,2022,4.28,31.0957436110064,31095743611.0064,4.28,3218854.6728972,2257.12602620791,2.25712602620791,31095743.6110064,62191487.2220128
"4003","Rwanda","RWA",14094683,2023,4.28,33.4610909972559,33461090997.2559,4.28,3293150.23364486,2374.02224635034,2.37402224635034,33461090.9972559,66922181.9945119
"4004","Rwanda","RWA",14414910,2024,4.28,36.0063623090313,36006362309.0313,4.28,3367969.62616822,2497.85550579444,2.49785550579444,36006362.3090313,72012724.6180626
"4005","Rwanda","RWA",14737248,2025,4.28,38.745243747,38745243747,4.28,3443282.24299065,2629.06912789959,2.62906912789959,38745243.747,77490487.494
"4006","Rwanda","RWA",15061867,2026,4.28,41.1963212228118,41196321222.8118,4.28,3519127.80373832,2735.14041936579,2.73514041936579,41196321.2228118,82392642.4456235
