Country,Year,Total_Access,Urban_Access,Rural_Access
BFA,2027,11.94110363,38.41117803,1.073439728
BFA,2028,12.06635528,38.81494464,1.084362459
BFA,2029,12.19292071,39.22295552,1.095396333
BFA,2030,12.3208137,39.63525529,1.106542482
BFA,2031,12.45004818,40.05188903,1.117802049
BFA,2032,12.58063821,40.47290229,1.129176186
BFA,2033,12.71259802,40.89834112,1.14066606
BFA,2034,12.84594196,41.32825203,1.152272849
BFA,2035,12.98068457,41.76268204,1.163997743
BFA,2036,13.11684051,42.20167864,1.175841942
BFA,2037,13.25442461,42.64528984,1.187806661
BFA,2038,13.39345184,43.09356414,1.199893127
BFA,2039,13.53393735,43.54655057,1.212102578
BFA,2040,13.67589642,44.00429865,1.224436266
BFA,2041,13.81934452,44.46685844,1.236895454
BFA,2042,13.96429726,44.93428052,1.24948142
BFA,2043,14.11077043,45.406616,1.262195454
BFA,2044,14.25877998,45.88391653,1.275038859
BFA,2045,14.40834201,46.36623429,1.288012952
BFA,2046,14.55947282,46.85362203,1.301119061
BFA,2047,14.71218886,47.34613304,1.314358532
BFA,2048,14.86650675,47.84382118,1.32773272
BFA,2049,15.02244331,48.34674086,1.341242996
BFA,2050,15.1800155,48.85494708,1.354890745
BGD,2020,25,57.8,8.6
BGD,2021,25.2582717,58.38691032,8.694221648
BGD,2022,25.51921157,58.97978022,8.789475589
BGD,2023,25.78284718,59.57867022,8.885773132
BGD,2024,26.04920637,60.18364144,8.983125712
BGD,2025,26.31831728,60.79475564,9.081544887
BGD,2026,26.59020834,61.41207518,9.181042343
BGD,2027,26.86490827,62.03566308,9.281629894
BGD,2028,27.1424461,62.665583,9.383319483
BGD,2029,27.42285112,63.30189922,9.486123183
BGD,2030,27.70615298,63.94467669,9.590053202
BGD,2031,27.99238159,64.59398103,9.695121878
BGD,2032,28.28156719,65.24987851,9.801341687
BGD,2033,28.57374032,65.91243607,9.908725241
BGD,2034,28.86893186,66.58172135,10.01728529
BGD,2035,29.16717299,67.25780266,10.12703472
BGD,2036,29.4684952,67.940749,10.23798657
BGD,2037,29.77293034,68.63063009,10.35015401
BGD,2038,30.08051055,69.32751634,10.46355035
BGD,2039,30.39126833,70.03147888,10.57818907
BGD,2040,30.70523652,70.74258957,10.69408377
BGD,2041,31.02244826,71.46092099,10.81124821
BGD,2042,31.34293708,72.18654646,10.92969631
BGD,2043,31.66673683,72.91954004,11.04944212
BGD,2044,31.9938817,73.65997656,11.17049987
BGD,2045,32.32440627,74.40793159,11.29288393
BGD,2046,32.65834545,75.16348147,11.41660883
BGD,2047,32.9957345,75.92670332,11.54168926
BGD,2048,33.33660908,76.69767505,11.66814007
BGD,2049,33.68100519,77.47647535,11.79597627
BGD,2050,34.02895921,78.26318371,11.92521306
BHR,2020,100,100,100
BHR,2021,100,100,100
BHR,2022,100,100,100
BHR,2023,100,100,100
BHR,2024,100,100,100
BHR,2025,100,100,100
BHR,2026,100,100,100
BHR,2027,100,100,100
BHR,2028,100,100,100
BHR,2029,100,100,100
BHR,2030,100,100,100
BHR,2031,100,100,100
BHR,2032,100,100,100
BHR,2033,100,100,100
BHR,2034,100,100,100
BHR,2035,100,100,100
BHR,2036,100,100,100
BHR,2037,100,100,100
BHR,2038,100,100,100
BHR,2039,100,100,100
BHR,2040,100,100,100
BHR,2041,100,100,100
BHR,2042,100,100,100
BHR,2043,100,100,100
BHR,2044,100,100,100
BHR,2045,100,100,100
BHR,2046,100,100,100
BHR,2047,100,100,100
BHR,2048,100,100,100
BHR,2049,100,100,100
BHR,2050,100,100,100
BHS,2020,100,100,100
BHS,2021,100,100,100
BHS,2022,100,100,100
BHS,2023,100,100,100
BHS,2024,100,100,100
BHS,2025,100,100,100
BHS,2026,100,100,100
BHS,2027,100,100,100
BHS,2028,100,100,100
BHS,2029,100,100,100
BHS,2030,100,100,100
BHS,2031,100,100,100
BHS,2032,100,100,100
BHS,2033,100,100,100
BHS,2034,100,100,100
BHS,2035,100,100,100
BHS,2036,100,100,100
BHS,2037,100,100,100
BHS,2038,100,100,100
BHS,2039,100,100,100
BHS,2040,100,100,100
BHS,2041,100,100,100
BHS,2042,100,100,100
BHS,2043,100,100,100
BHS,2044,100,100,100
BHS,2045,100,100,100
BHS,2046,100,100,100
BHS,2047,100,100,100
BHS,2048,100,100,100
BHS,2049,100,100,100
BHS,2050,100,100,100
BIH,2020,41.4,62.7,14.6
BIH,2021,41.80437157,63.31798601,14.73857641
BIH,2022,42.21269281,63.94206304,14.87846813
BIH,2023,42.6250023,64.57229112,15.01968763
BIH,2024,43.041339,65.20873087,15.16224752
BIH,2025,43.46174223,65.85144353,15.30616052
BIH,2026,43.88625172,66.50049092,15.45143948
BIH,2027,44.31490758,67.15593546,15.59809736
BIH,2028,44.7477503,67.81784023,15.74614725
BIH,2029,45.18482079,68.48626888,15.89560236
BIH,2030,45.62616033,69.16128573,16.04647603
BIH,2031,46.07181062,69.8429557,16.19878172
BIH,2032,46.52181377,70.53134437,16.35253302
BIH,2033,46.9762123,71.22651796,16.50774366
BIH,2034,47.43504913,71.92854335,16.66442749
BIH,2035,47.89836761,72.63748806,16.82259849
BIH,2036,48.36621153,73.35342031,16.98227077
BIH,2037,48.83862508,74.07640895,17.14345859
BIH,2038,49.31565289,74.80652353,17.30617633
BIH,2039,49.79734004,75.5438343,17.47043851
BIH,2040,50.28373204,76.28841218,17.63625979
BIH,2041,50.77487483,77.04032879,17.80365497
BIH,2042,51.27081483,77.79965647,17.97263898
BIH,2043,51.77159889,78.56646826,18.14322691
BIH,2044,52.27727431,79.34083793,18.31543399
BIH,2045,52.78788889,80.12283998,18.48927557
BIH,2046,53.30349086,80.91254962,18.66476718
BIH,2047,53.82412894,81.71004282,18.84192447
BIH,2048,54.34985231,82.5153963,19.02076326
BIH,2049,54.88071065,83.32868754,19.2012995
BIH,2050,55.4167541,84.14999477,19.38354931
BLR,2020,99.6,99.8,98.9
BLR,2021,100,100,100
BLR,2022,100,100,100
BLR,2023,100,100,100
BLR,2024,100,100,100
BLR,2025,100,100,100
BLR,2026,100,100,100
BLR,2027,100,100,100
BLR,2028,100,100,100
BLR,2029,100,100,100
BLR,2030,100,100,100
BLR,2031,100,100,100
BLR,2032,100,100,100
BLR,2033,100,100,100
BLR,2034,100,100,100
BLR,2035,100,100,100
BLR,2036,100,100,100
BLR,2037,100,100,100
BLR,2038,100,100,100
BLR,2039,100,100,100
BLR,2040,100,100,100
BLR,2041,100,100,100
BLR,2042,100,100,100
BLR,2043,100,100,100
BLR,2044,100,100,100
BLR,2045,100,100,100
BLR,2046,100,100,100
BLR,2047,100,100,100
BLR,2048,100,100,100
BLR,2049,100,100,100
BLR,2050,100,100,100
BLZ,2020,83,95.2,73.7
BLZ,2021,83.82759035,96.15087339,74.43688653
BLZ,2022,84.66343257,97.11124427,75.18114078
BLZ,2023,85.50760895,98.08120748,75.93283644
BLZ,2024,86.36020259,99.06085885,76.69204789
BLZ,2025,87.22129741,100,77.45885029
BLZ,2026,88.09097818,100,78.23331953
BLZ,2027,88.96933051,100,79.01553227
BLZ,2028,89.85644086,100,79.80556594
BLZ,2029,90.75239656,100,80.60349872
BLZ,2030,91.6572858,100,81.40940961
