"","iso3c","Country","year","km2"
"50","ARG","Argentina",2010,5275.903181
"51","ARG","Argentina",2020,5722.742944
"52","ARG","Argentina",2030,6202.209388
"53","ARG","Argentina",2040,6723.598098
"54","ARG","Argentina",2050,7291.424676
"55","ARM","Armenia",2000,460.8857837
"56","ARM","Armenia",2010,506.8074474
"57","ARM","Armenia",2020,574.5680775
"58","ARM","Armenia",2030,650.7102109
"59","ARM","Armenia",2040,733.5755334
"60","ARM","Armenia",2050,824.0684859
"61","ASM","American Samoa",2000,1.29038294
"62","ASM","American Samoa",2010,1.410131695
"63","ASM","American Samoa",2020,1.502535402
"64","ASM","American Samoa",2030,1.60115111
"65","ASM","American Samoa",2040,1.719070817
"66","ASM","American Samoa",2050,1.852911235
"67","ATG","Antigua and Barbuda",2000,8.514260713
"68","ATG","Antigua and Barbuda",2010,10.69086867
"69","ATG","Antigua and Barbuda",2020,13.55795572
"70","ATG","Antigua and Barbuda",2030,17.34098434
"71","ATG","Antigua and Barbuda",2040,22.37822335
"72","ATG","Antigua and Barbuda",2050,28.92982928
"73","AUS","Australia",2000,9836.132474
"74","AUS","Australia",2010,10822.56355
"75","AUS","Australia",2020,11829.06888
"76","AUS","Australia",2030,12922.01819
"77","AUS","Australia",2040,14110.70458
"78","AUS","Australia",2050,15392.25448
"79","AUT","Austria",2000,2897.720954
"80","AUT","Austria",2010,3306.604234
"81","AUT","Austria",2020,3764.876669
"82","AUT","Austria",2030,4270.273115
"83","AUT","Austria",2040,4818.639833
"84","AUT","Austria",2050,5412.255888
"85","AZE","Azerbaijan",2000,1189.593267
"86","AZE","Azerbaijan",2010,1237.384111
"87","AZE","Azerbaijan",2020,1396.873798
"88","AZE","Azerbaijan",2030,1613.163089
"89","AZE","Azerbaijan",2040,1857.378122
"90","AZE","Azerbaijan",2050,2120.758516
"91","BDI","Burundi",2000,166.8367499
"92","BDI","Burundi",2010,281.4682383
"93","BDI","Burundi",2020,457.7645563
"94","BDI","Burundi",2030,726.7847192
"95","BDI","Burundi",2040,1095.753107
"96","BDI","Burundi",2050,1566.084459
"97","BEL","Belgium",2000,4769.878791
"98","BEL","Belgium",2010,5221.83044
"99","BEL","Belgium",2020,5671.588957
"100","BEL","Belgium",2030,6144.901834
"101","BEL","Belgium",2040,6650.072388
"102","BEL","Belgium",2050,7198.870731
"103","BEN","Benin",2000,697.0844573
"104","BEN","Benin",2010,940.6797396
"105","BEN","Benin",2020,1201.820891
"106","BEN","Benin",2030,1472.378118
"107","BEN","Benin",2040,1732.502684
"108","BEN","Benin",2050,1980.354355
"109","BFA","Burkina Faso",2000,460.8411766
"110","BFA","Burkina Faso",2010,722.1615463
"111","BFA","Burkina Faso",2020,1077.083406
"112","BFA","Burkina Faso",2030,1487.808683
"113","BFA","Burkina Faso",2040,1913.234735
"114","BFA","Burkina Faso",2050,2329.934643
"115","BGD","Bangladesh",2000,685.6080946
"116","BGD","Bangladesh",2010,900.092288
"117","BGD","Bangladesh",2020,1158.880444
"118","BGD","Bangladesh",2030,1453.326436
"119","BGD","Bangladesh",2040,1772.725519
"120","BGD","Bangladesh",2050,2098.000271
"121","BGR","Bulgaria",2000,1900.954428
"122","BGR","Bulgaria",2010,2120.572632
"123","BGR","Bulgaria",2020,2385.262933
"124","BGR","Bulgaria",2030,2668.242668
"125","BGR","Bulgaria",2040,2978.301717
"126","BGR","Bulgaria",2050,3318.265098
