Country,iso3c,year,urb_land_2.1,density_2.2,Embodied_Building_4.1,Average_4.2,Construction_5.1,Const_Import_5.2,Ratio_5.3
Mali,MLI,2043,1041.8746832900001,21450.613359206964,9679746119.125593,43.73837529824,8675274.352022897,329066.59767181874,0.9634546715289612
Mali,MLI,2044,1059.52540182,21798.867644254737,10296369993.452492,43.73837529824,9227910.879464835,350028.9574146068,0.9634546715289612
Mali,MLI,2045,1077.17612035,22146.895525541902,11030843698.461025,43.73837529824,9886167.905721568,374997.66632620024,0.9634546715289612
Mali,MLI,2046,1094.82683888,22494.32798449995,11713550510.072868,43.73837529824,10498029.9132411,398206.5402924917,0.9634546715289612
Mali,MLI,2047,1112.47755741,22840.933581759637,12438510534.889639,43.73837529824,11147760.498334473,422851.8280798621,0.9634546715289612
Mali,MLI,2048,1130.12827594,23186.652840983512,13208338854.518497,43.73837529824,11837703.374371435,449022.4303677831,0.9634546715289612
Mali,MLI,2049,1147.77899447,23531.500515455675,14025812399.838997,43.73837529824001,12570347.308819665,476812.7499624085,0.9634546715289612
Mali,MLI,2050,1165.429713,23875.4261107465,14999059566.479744,43.73837529824,13442600.163288137,509898.6522039374,0.9634546715289612
Malta,MLT,2020,86.69526202,4746.891472628137,1792798668.441956,59.59026262302473,763672.2153423071,79479.7279513326,0.9057349881198665
Malta,MLT,2021,87.420279437,4722.782890410861,1878593152.8824904,59.59026262302473,800217.7935771424,83283.23495024428,0.9057349881198665
Malta,MLT,2022,88.145296854,4698.6398002153355,1968493337.360617,59.59026262302473,838512.262581717,87268.758997574,0.9057349881198665
Malta,MLT,2023,88.870314271,4673.945438443717,2062695700.3901772,59.590262623024735,878639.3156254278,91445.01052974904,0.9057349881198665
Malta,MLT,2024,89.595331688,4648.255574858026,2161406122.9757075,59.59026262302473,920686.6511239413,95821.11682163803,0.9057349881198665
Malta,MLT,2025,90.32034910499999,4621.306318410737,2264840338.56918,59.59026262302473,964746.1643057019,100406.64193437874,0.9057349881198665
Malta,MLT,2026,91.045366522,4593.072838022486,2331027120.780001,59.59026262302475,992939.5177965557,103340.88521372131,0.9057349881198665
Malta,MLT,2027,91.770383939,4563.672745211396,2399148118.8668017,59.59026262302473,1021956.782498948,106360.87763730866,0.9057349881198665
Malta,MLT,2028,92.495401356,4532.89562349472,2469259857.5756106,59.59026262302472,1051822.0360624106,109469.12510360885,0.9057349881198665
Malta,MLT,2029,93.22041877299999,4500.902329367398,2541420513.508879,59.59026262302473,1082560.0597720132,112668.206742458,0.9057349881198665
Malta,MLT,2030,93.94543619,4467.486841523387,2637596312.4525023,59.59026262302473,1123527.7304505184,116931.9461517383,0.9057349881198665
Malta,MLT,2031,94.71119530099999,4430.806713676532,2697922598.4452815,59.59026262302473,1149224.7087439687,119606.37741020598,0.9057349881198665
Malta,MLT,2032,95.476954412,4392.913479310616,2759628648.56819,59.590262623024735,1175509.4203665724,122341.97743214387,0.9057349881198665
Malta,MLT,2033,96.24271352299999,4354.10624514297,2822746020.3590975,59.590262623024735,1202395.307773013,125140.14525056606,0.9057349881198665
Malta,MLT,2034,97.008472634,4314.62313172533,2887306993.130107,59.59026262302472,1229896.1208696326,128002.31189673646,0.9057349881198665
Malta,MLT,2035,97.774231745,4274.786848646079,2958962369.9933863,59.590262623024735,1260418.9126106172,131178.99311565605,0.9057349881198665
Malta,MLT,2036,98.53999085599999,4234.798444519962,3013205583.5355816,59.59026262302473,1283524.7056827717,133583.74493270557,0.9057349881198665
Malta,MLT,2037,99.305749967,4194.601018958337,3068443174.7843747,59.590262623024735,1307054.070369214,136032.58026621034,0.9057349881198665
Malta,MLT,2038,100.07150907799999,4154.329277436621,3124693372.509022,59.59026262302473,1331014.7715154036,138526.307247974,0.9057349881198665
Malta,MLT,2039,100.837268189,4114.252671169217,3181974739.6455927,59.590262623024735,1355414.7163106755,141065.7488243399,0.9057349881198665
Malta,MLT,2040,101.6030273,4074.5242637076426,3245550274.1825247,59.59026262302472,1382495.7657090356,143884.22826561888,0.9057349881198665
Malta,MLT,2041,102.44010241,4032.239233291489,3293896181.8353567,59.59026262302473,1403089.5038960786,146027.5361871641,0.9057349881198665
Malta,MLT,2042,103.27717752,3990.4460007167713,3342962252.9702873,59.590262623024735,1423990.0076176252,148202.77094948915,0.9057349881198665
Malta,MLT,2043,104.11425263,3949.2671715296165,3392759215.184871,59.590262623024735,1445201.8464711076,150410.40813669073,0.9057349881198665
Malta,MLT,2044,104.95132774,3908.7928550678857,3443297955.8755946,59.59026262302472,1466729.6581229516,152650.93041719447,0.9057349881198665
Malta,MLT,2045,105.78840285,3869.0819501298483,3499606877.45719,59.59026262302473,1490715.373666306,155147.26079010102,0.9057349881198665
Malta,MLT,2046,106.62547796,3830.191505947647,3541793029.153273,59.59026262302473,1508685.2620255563,157017.4896781179,0.9057349881198665
Malta,MLT,2047,107.46255307,3792.0465162832743,3584487715.509746,59.59026262302473,1526871.7691259482,158910.2633153992,0.9057349881198665
Malta,MLT,2048,108.29962818,3754.731265781895,3627697066.6781006,59.59026262302473,1545277.5062067984,160825.85346853058,0.9057349881198665
Malta,MLT,2049,109.13670329,3718.052568637379,3671427286.7059913,59.59026262302473,1563905.1159847155,162764.5351801191,0.9057349881198665
Malta,MLT,2050,109.9737784,3682.223216220786,3720422480.5746236,59.59026262302473,1584775.4283635733,164936.6277570206,0.9057349881198665
Myanmar,MMR,2020,1996.968996,8546.98597433808,1885672741.9830585,4.940367489696,6393026.533757834,214972.923664126,0.9674677752246675
Myanmar,MMR,2021,2040.9283265000001,8516.253988108876,1854208654.1411533,4.9403674896959995,6286353.332223273,211385.9136791983,0.9674677752246675
Myanmar,MMR,2022,2084.887657,8490.875247193235,1823269571.938711,4.940367489696,6181460.065726605,207858.75607201498,0.9674677752246675
Myanmar,MMR,2023,2128.8469875,8470.689582616138,1792846735.200549,4.940367489696,6078317.034505444,204390.45215365782,0.9674677752246675
Myanmar,MMR,2024,2172.806318,8455.712710238908,1762931529.9226174,4.940367489696,5976895.034363731,200980.01989920085,0.9674677752246675
Myanmar,MMR,2025,2216.7656484999998,8445.85940451973,1733515485.8330073,4.940367489696,5877165.348402795,197626.49366965683,0.9674677752246675
Myanmar,MMR,2026,2260.724979,8440.83167004278,1785638566.2239823,4.940367489696,6053879.063641773,203568.69707142233,0.9674677752246675
Myanmar,MMR,2027,2304.6843095,8440.189365553539,1839328875.4811811,4.940367489696,6235906.180036299,209689.56974273914,0.9674677752246675
Myanmar,MMR,2028,2348.64364,8443.547868334765,1894633536.804168,4.940367489696,6423406.460125473,215994.48388407298,0.9674677752246675
Myanmar,MMR,2029,2392.6029705,8450.490218932879,1951601090.285714,4.9403674896959995,6616544.470164155,222488.97322639727,0.9674677752246675
Myanmar,MMR,2030,2436.562301,8460.648427310622,2025980999.858322,4.9403674896959995,6868715.870264112,230968.52870105588,0.9674677752246675
Myanmar,MMR,2031,2483.7152003,8462.864823414995,2090604928.887452,4.940367489696001,7087811.413091139,238335.8701557799,0.9674677752246675
Myanmar,MMR,2032,2530.8680996,8468.176197482308,2157290206.075055,4.940367489696,7313895.577633395,245938.21211215557,0.9674677752246675
Myanmar,MMR,2033,2578.0209989,8476.29286546693,2226102583.4775963,4.940367489696001,7547191.284142237,253783.05052189293,0.9674677752246675
Myanmar,MMR,2034,2625.1738981999997,8486.928433684516,2297109910.4842553,4.940367489696,7787928.563489763,261878.1204395623,0.9674677752246675
Myanmar,MMR,2035,2672.3267975,8499.81036048792,2376223288.299602,4.940367489696,8056147.916873865,270897.30693531886,0.9674677752246675
Myanmar,MMR,2036,2719.4796968,8514.66845928173,2453028810.9350123,4.940367489696001,8316542.911835151,279653.3903144111,0.9674677752246675
Myanmar,MMR,2037,2766.6325961,8531.229637528235,2532316881.5432262,4.940367489696,8585354.528996095,288692.492365815,0.9674677752246675
Myanmar,MMR,2038,2813.7854954,8549.198949005287,2614167742.3285265,4.940367489696,8862854.814788552,298023.7609659735,0.9674677752246675
Myanmar,MMR,2039,2860.9383946999997,8568.22084858995,2698664229.1253743,4.940367489696,9149324.608870361,307656.6396737408,0.9674677752246675
Myanmar,MMR,2040,2908.091294,8587.693258298375,2790819573.1197157,4.9403674896959995,9461760.349318,318162.65341019793,0.9674677752246675
Myanmar,MMR,2041,2955.3120682999997,8605.7294161255,2879892299.136616,4.9403674896959995,9763745.040607186,328317.23851092416,0.9674677752246675
Myanmar,MMR,2042,3002.5328426,8622.013931938463,2971807899.912065,4.9403674896959995,10075367.975775547,338795.92072821234,0.9674677752246675
Myanmar,MMR,2043,3049.7536169,8636.58980648195,3066657109.582695,4.940367489696,10396936.77222143,349609.04405346327,0.9674677752246675
