Country.Name,iso3c,year,total_building_stock_m2,Construction Comparative,Total_Cost,Construction_Intensity,Building_Intensity,Embodied_Carbon_Buildings,Embodied_Carbon_Construction
Bulgaria,BGR,2045,550233221.61,674.51,371137810308.16113,771386.38877,15132957.05844,5616412546.156853,286290655.22961766
Bulgaria,BGR,2044,542421883.165267,674.51,365868984413.80426,771386.38877,15132957.05844,5536679630.149154,282226354.6499119
Bulgaria,BGR,2043,534721437.712635,674.51,360674956951.54944,771386.38877,15132957.05844,5458078635.602493,278219752.5626309
Bulgaria,BGR,2042,527130310.969313,674.51,355554666051.9113,771386.38877,15132957.05844,5380593493.291548,274270029.8561072
Bulgaria,BGR,2041,519646951.001678,674.51,350507064920.14185,771386.38877,15132957.05844,5304208362.116347,270376379.04712015
Bulgaria,BGR,2040,512269827.908,674.51,345531121622.2251,771386.38877,15132957.05844,5228907625.863741,266538004.11581585
Bulgaria,BGR,2039,503748805.6206,674.51,339783606879.1509,771386.38877,15132957.05844,5141930732.064049,262104449.47375354
Bulgaria,BGR,2038,495369520.786523,674.51,334131695465.7176,771386.38877,15132957.05844,5056400599.346455,257744641.93889725
Bulgaria,BGR,2037,487129615.765455,674.51,328573797129.95703,771386.38877,15132957.05844,4972293162.496216,253457354.8125241
Bulgaria,BGR,2036,479026772.133729,674.51,323108348071.9215,771386.38877,15132957.05844,4889584756.595873,249241381.80063972
Bulgaria,BGR,2035,471058710.032,674.51,317733810503.6843,771386.38877,15132957.05844,4808252110.366768,245095536.67456853
Bulgaria,BGR,2034,461755045.724986,674.51,311458395891.9603,771386.38877,15132957.05844,4713286530.523641,240254767.25919625
Bulgaria,BGR,2033,452635133.820156,674.51,305306924113.0334,771386.38877,15132957.05844,4620196572.246935,235509605.65802926
Bulgaria,BGR,2032,443695345.108178,674.51,299276947228.9172,771386.38877,15132957.05844,4528945190.996217,230858163.56502426
Bulgaria,BGR,2031,434932122.05857,674.51,293366065649.7261,771386.38877,15132957.05844,4439496073.880795,226298589.96920493
Bulgaria,BGR,2030,426341977.404,674.51,287571927178.77203,771386.38877,15132957.05844,4351813625.209192,221829070.4180624
Bulgaria,BGR,2029,416174625.912425,674.51,280713946924.18976,771386.38877,15132957.05844,4248032104.508969,216538917.79522416
Bulgaria,BGR,2028,406249744.179476,674.51,274019514946.49838,771386.38877,15132957.05844,4146725552.859918,211374924.08708644
Bulgaria,BGR,2027,396561549.815915,674.51,267484730966.33282,771386.38877,15132957.05844,4047834947.5018907,206334080.67123446
Bulgaria,BGR,2026,387104398.330216,674.51,261105787717.714,771386.38877,15132957.05844,3951302673.2423162,201413450.6745136
Bulgaria,BGR,2025,377872779.84,674.51,254878968729.8784,771386.38877,15132957.05844,3857072488.888721,196610167.26196265
Bulgaria,BGR,2024,363940671.253163,674.51,245481622166.97095,771386.38877,15132957.05844,3714862846.888964,189361182.03278127
Bulgaria,BGR,2023,350522237.268021,674.51,236430754259.65283,771386.38877,15132957.05844,3577896451.505906,182379465.7225209
Bulgaria,BGR,2022,337598538.784666,674.51,227713590395.64505,771386.38877,15132957.05844,3445979985.0804915,175655164.16914758
