Country Name,iso3c,Population,year,Average household size (number of members),gdp_ppp,GDP,average_household_size,num_households,gdp_per_capita,avg_m2_capita,residential_building_stock_m2
Luxembourg,LUX,727560,2036,2.41,86.54476590995584,86544765909.95584,2.41,301892.1161825726,118952.0670597007,118.9520670597007,86544765.90995584
Luxembourg,LUX,731909,2037,2.41,86.93958512457587,86939585124.57587,2.41,303696.6804979253,118784.69198298677,118.78469198298677,86939585.12457587
Luxembourg,LUX,736133,2038,2.41,87.33620551354298,87336205513.54298,2.41,305449.37759336096,118641.88334654605,118.64188334654605,87336205.51354298
Luxembourg,LUX,740245,2039,2.41,87.73463529385604,87734635293.85605,2.41,307155.60165975103,118521.07787807556,118.52107787807556,87734635.29385604
Luxembourg,LUX,744233,2040,2.41,88.13488272000001,88134882720,2.41,308810.3734439834,118423.77685482906,118.42377685482906,88134882.72
Luxembourg,LUX,748090,2041,2.41,88.36051390070867,88360513900.70866,2.41,310410.7883817427,118114.81760310747,118.11481760310747,88360513.90070866
Luxembourg,LUX,751857,2042,2.41,88.58672271229557,88586722712.29556,2.41,311973.8589211618,117823.8983108431,117.82389831084309,88586722.71229555
Luxembourg,LUX,755514,2043,2.41,88.81351063353425,88813510633.53426,2.41,313491.28630705393,117553.75894230187,117.55375894230187,88813510.63353425
Luxembourg,LUX,759036,2044,2.41,89.04087914698415,89040879146.98415,2.41,314952.6970954357,117307.84725228335,117.30784725228335,89040879.14698415
Luxembourg,LUX,762442,2045,2.41,89.26882973900001,89268829739.00002,2.41,316365.9751037344,117082.78103645919,117.08278103645918,89268829.73900001
Luxembourg,LUX,765747,2046,2.41,89.52155542184056,89521555421.84056,2.41,317737.3443983402,116907.48435428485,116.90748435428485,89521555.42184056
Luxembourg,LUX,768954,2047,2.41,89.77499658701636,89774996587.01636,2.41,319068.0497925311,116749.50203395307,116.74950203395308,89774996.58701636
Luxembourg,LUX,772053,2048,2.41,90.02915526010298,90029155260.10298,2.41,320353.94190871366,116610.07114809862,116.61007114809863,90029155.26010299
Luxembourg,LUX,775066,2049,2.41,90.28403347241057,90284033472.41057,2.41,321604.14937759336,116485.6069965791,116.4856069965791,90284033.47241057
Luxembourg,LUX,777917,2050,2.41,90.539633261,90539633261,2.41,322787.13692946057,116387.26658628105,116.38726658628106,90539633.261
Madagascar,MDG,28225177,2020,4.5,40.039384861,40039384861,4.5,6272261.555555556,1418.5698414220751,1.418569841422075,40039384.861
Madagascar,MDG,28915653,2021,4.5,41.942931449453134,41942931449.45313,4.5,6425700.666666667,1450.5268634069282,1.4505268634069282,41942931.44945313
Madagascar,MDG,29611714,2022,4.5,43.936976171855896,43936976171.855896,4.5,6580380.888888889,1483.7701111072427,1.4837701111072426,43936976.17185589
Madagascar,MDG,30325732,2023,4.5,46.02582147727785,46025821477.277855,4.5,6739051.555555556,1517.715103374186,1.5177151033741858,46025821.47727785
Madagascar,MDG,31056610,2024,4.5,48.21397436119399,48213974361.19399,4.5,6901468.888888889,1552.4545132644546,1.5524545132644545,48213974.36119399
Madagascar,MDG,31797306,2025,4.5,50.506156090000005,50506156090.00001,4.5,7066068,1588.3784648296937,1.5883784648296937,50506156.09000001
Madagascar,MDG,32544738,2026,4.5,53.05318075483045,53053180754.83045,4.5,7232164,1630.161556526602,1.630161556526602,53053180.75483046
Madagascar,MDG,33299316,2027,4.5,55.72865183383058,55728651833.83058,4.5,7399848,1673.5674640833638,1.6735674640833638,55728651.83383058
Madagascar,MDG,34061942,2028,4.5,58.53904687766601,58539046877.66601,4.5,7569320.444444444,1718.6056766130953,1.7186056766130953,58539046.877666004
Madagascar,MDG,34830840,2029,4.5,61.491170099781556,61491170099.781555,4.5,7740186.666666667,1765.4231164043576,1.7654231164043577,61491170.09978156
Madagascar,MDG,35604443,2030,4.5,64.59216885000001,64592168850.00001,4.5,7912098.444444444,1814.1603521223462,1.8141603521223462,64592168.85
Madagascar,MDG,36382789,2031,4.5,68.1028828084435,68102882808.4435,4.5,8085064.222222222,1871.8433820025039,1.8718433820025038,68102882.80844349
Madagascar,MDG,37165274,2032,4.5,71.80441111353993,71804411113.53993,4.5,8258949.777777778,1932.0296444885603,1.9320296444885603,71804411.11353993
Madagascar,MDG,37952413,2033,4.5,75.70712490783171,75707124907.83171,4.5,8433869.555555556,1994.7908162738352,1.9947908162738353,75707124.90783171
Madagascar,MDG,38742689,2034,4.5,79.82195902626447,79821959026.26447,4.5,8609486.444444444,2060.3102439860195,2.0603102439860197,79821959.02626449
Madagascar,MDG,39534122,2035,4.5,84.160442634,84160442634,4.5,8785360.444444444,2128.805153027048,2.128805153027048,84160442.63399999
Madagascar,MDG,40326745,2036,4.5,88.92710793348853,88927107933.48853,4.5,8961498.888888888,2205.164536177877,2.205164536177877,88927107.93348852
Madagascar,MDG,41120987,2037,4.5,93.96374683775191,93963746837.7519,4.5,9137997.111111112,2285.0557268421576,2.2850557268421574,93963746.83775191
Madagascar,MDG,41918817,2038,4.5,99.2856500673874,99285650067.38739,4.5,9315292.666666666,2368.5222335207454,2.3685222335207454,99285650.06738739
Madagascar,MDG,42720774,2039,4.5,104.908974376309,104908974376.309,4.5,9493505.333333334,2455.6899267861813,2.455689926786181,104908974.37630899
Madagascar,MDG,43524300,2040,4.5,110.850791602,110850791602,4.5,9672066.666666666,2546.871324800169,2.546871324800169,110850791.60199998
Madagascar,MDG,44328120,2041,4.5,117.20653372710541,117206533727.10541,4.5,9850693.333333334,2644.0673262729256,2.6440673262729257,117206533.72710541
Madagascar,MDG,45131260,2042,4.5,123.92668874793351,123926688747.93352,4.5,10029168.888888888,2745.9168821773096,2.7459168821773097,123926688.74793352
Madagascar,MDG,45935275,2043,4.5,131.03215064601395,131032150646.01395,4.5,10207838.888888888,2852.538722060855,2.852538722060855,131032150.64601395
Madagascar,MDG,46740497,2044,4.5,138.54501138041581,138545011380.4158,4.5,10386777.111111112,2964.1321824287793,2.9641321824287794,138545011.38041583
Madagascar,MDG,47546606,2045,4.5,146.488629575,146488629575,4.5,10565912.444444444,3080.9481874479116,3.0809481874479117,146488629.575
Madagascar,MDG,48355513,2046,4.5,154.78696435792375,154786964357.92374,4.5,10745669.555555556,3201.020002784868,3.201020002784868,154786964.35792372
Madagascar,MDG,49165426,2047,4.5,163.55538586613986,163555385866.13986,4.5,10925650.222222222,3326.634164954451,3.3266341649544513,163555385.86613986
Madagascar,MDG,49974855,2048,4.5,172.8205237229496,172820523722.9496,4.5,11105523.333333334,3458.1495778817084,3.4581495778817084,172820523.7229496
Madagascar,MDG,50784139,2049,4.5,182.61051607507954,182610516075.07956,4.5,11285364.222222222,3595.817900448791,3.595817900448791,182610516.07507956
Madagascar,MDG,51592965,2050,4.5,192.955095048,192955095048,4.5,11465103.333333334,3739.9497208194953,3.7399497208194954,192955095.048
Malawi,MWI,19377061,2020,4.28,28.514209859,28514209859,4.28,4527350.70093458,1471.5446196407186,1.4715446196407185,28514209.859
Malawi,MWI,19889742,2021,4.28,29.231514234248078,29231514234.248077,4.28,4647135.981308411,1469.677899001811,1.4696778990018111,29231514.23424808
Malawi,MWI,20405317,2022,4.28,29.96686314130308,29966863141.303078,4.28,4767597.4299065415,1468.5811125258715,1.4685811125258714,29966863.141303077
Malawi,MWI,20931751,2023,4.28,30.720710508984297,30720710508.9843,4.28,4890596.028037383,1467.6608043438075,1.4676608043438075,30720710.508984298
Malawi,MWI,21475962,2024,4.28,31.493521685158928,31493521685.158928,4.28,5017748.130841121,1466.454526468194,1.466454526468194,31493521.68515893
Malawi,MWI,22033992,2025,4.28,32.285773724,32285773724.000004,4.28,5148128.971962617,1465.2711920745003,1.4652711920745003,32285773.724000003
Malawi,MWI,22601151,2026,4.28,33.92968372742992,33929683727.429916,4.28,5280642.757009345,1501.236982462969,1.501236982462969,33929683.72742991
Malawi,MWI,23176271,2027,4.28,35.657297473643865,35657297473.64387,4.28,5415016.588785047,1538.5260844440363,1.5385260844440363,35657297.47364387
Malawi,MWI,23758548,2028,4.28,37.47287694568314,37472876945.68314,4.28,5551062.61682243,1577.237672339368,1.577237672339368,37472876.945683144
Malawi,MWI,24347875,2029,4.28,39.38090113599437,39380901135.99437,4.28,5688755.841121495,1617.4266187909363,1.6174266187909363,39380901.13599437
Malawi,MWI,24944243,2030,4.28,41.386077096,41386077096,4.28,5828094.158878504,1659.1434382674993,1.6591434382674992,41386077.096
Malawi,MWI,25544608,2031,4.28,43.50753051759541,43507530517.59541,4.28,5968366.355140187,1703.1982059617205,1.7031982059617206,43507530.51759542
Malawi,MWI,26148406,2032,4.28,45.73772980098292,45737729800.98292,4.28,6109440.654205607,1749.15938665565,1.74915938665565,45737729.80098292
