Country.Name,iso3c,year,total_building_stock_m2,Construction Comparative,Total_Cost,Construction_GHG_Intensity,Building_GHG_Intensity,Embodied Carbon in Buildings,Embodied Carbon in Construction,,,,,
Algeria,DZA,2026,225641940,742.02,1.67431E+11,938445.1,15011385,2513368685,157124644.2,,,,,
Algeria,DZA,2027,232201145.5,742.02,1.72298E+11,938445.1,15011385,2586430021,161692114.3,,,,,
Algeria,DZA,2028,238951021.1,742.02,1.77306E+11,938445.1,15011385,2661615184,166392356.7,,,,,
Algeria,DZA,2029,245897109.4,742.02,1.82461E+11,938445.1,15011385,2738985910,171229230.8,,,,,
Algeria,DZA,2030,253045114.2,742.02,1.87765E+11,938445.1,15011385,2818605734,176206708.4,,,,,
Algeria,DZA,2031,259221409.1,742.02,1.92347E+11,938445.1,15011385,2887401926,180507540.7,,,,,
Algeria,DZA,2032,265548454.4,742.02,1.97042E+11,938445.1,15011385,2957877288,184913347.3,,,,,
Algeria,DZA,2033,272029929.4,742.02,2.01852E+11,938445.1,15011385,3030072804,189426690.2,,,,,
Algeria,DZA,2034,278669603.4,742.02,2.06778E+11,938445.1,15011385,3104030459,194050194.2,,,,,
Algeria,DZA,2035,285471337.8,742.02,2.11825E+11,938445.1,15011385,3179793264,198786548.2,,,,,
Algeria,DZA,2036,292224030.5,742.02,2.16836E+11,938445.1,15011385,3255009806,203488752.2,,,,,
Algeria,DZA,2037,299136455,742.02,2.21965E+11,938445.1,15011385,3332005559,208302184.7,,,,,
Algeria,DZA,2038,306212389.7,742.02,2.27216E+11,938445.1,15011385,3410822612,213229476.7,,,,,
Algeria,DZA,2039,313455702.4,742.02,2.3259E+11,938445.1,15011385,3491504046,218273321.5,,,,,
Algeria,DZA,2040,320870352.3,742.02,2.38092E+11,938445.1,15011385,3574093962,223436476.1,,,,,
Algeria,DZA,2041,328817552.6,742.02,2.43989E+11,938445.1,15011385,3662615823,228970469.6,,,,,
Algeria,DZA,2042,336961586.3,742.02,2.50032E+11,938445.1,15011385,3753330162,234641527,,,,,
Algeria,DZA,2043,345307328.5,742.02,2.56225E+11,938445.1,15011385,3846291280,240453043.1,,,,,
Algeria,DZA,2044,353859775,742.02,2.62571E+11,938445.1,15011385,3941554825,246408496.8,,,,,
Algeria,DZA,2045,362624045.4,742.02,2.69074E+11,938445.1,15011385,4039177824,252511452.9,,,,,
Algeria,DZA,2046,372090006.8,742.02,2.76098E+11,938445.1,15011385,4144616781,259103028.1,,,,,
Algeria,DZA,2047,381803068.2,742.02,2.83306E+11,938445.1,15011385,4252808123,265866670.2,,,,,
Algeria,DZA,2048,391769680,742.02,2.90701E+11,938445.1,15011385,4363823700,272806870.8,,,,,
Algeria,DZA,2049,401996460.9,742.02,2.98289E+11,938445.1,15011385,4477737234,279928238.9,,,,,
Algeria,DZA,2050,412490202.3,742.02,3.06076E+11,938445.1,15011385,4594624374,287235503.6,,,,,
Angola,AGO,2020,82145036.54,742.99,61032940702,899792.8,62727133,3828421389,54917000.61,,,,,
Angola,AGO,2021,84617959.81,742.99,62870297963,899792.8,62727133,3943673542,56570241.44,,,,,
Angola,AGO,2022,87165328.84,742.99,64762967676,899792.8,62727133,4062395287,58273252.02,,,,,
Angola,AGO,2023,89789384.77,742.99,66712614990,899792.8,62727133,4184691073,60027530.64,,,,,
Angola,AGO,2024,92492436.2,742.99,68720955176,899792.8,62727133,4310668495,61834620.68,,,,,
Angola,AGO,2025,95276861.26,742.99,70789755146,899792.8,62727133,4440438386,63696111.99,,,,,
Angola,AGO,2026,99153431.17,742.99,73670007826,899792.8,62727133,4621108379,66287742.62,,,,,
Angola,AGO,2027,103187728.7,742.99,76667450564,899792.8,62727133,4809129368,68984820.01,,,,,
Angola,AGO,2028,107386171.4,742.99,79786851521,899792.8,62727133,5004800447,71791634.53,,,,,
Angola,AGO,2029,111755438,742.99,83033172863,899792.8,62727133,5208432878,74712651.1,,,,,
Angola,AGO,2030,116302478.7,742.99,86411578653,899792.8,62727133,5420350587,77752516.31,,,,,
Angola,AGO,2031,121275895.2,742.99,90106777365,899792.8,62727133,5652139808,81077429.5,,,,,
Angola,AGO,2032,126461988.7,742.99,93959993021,899792.8,62727133,5893840979,84544525.21,,,,,
Angola,AGO,2033,131869854.1,742.99,97977982862,899792.8,62727133,6145877962,88159883.54,,,,,
Angola,AGO,2034,137508974.7,742.99,1.02168E+11,899792.8,62727133,6408692746,91929844.61,,,,,
Angola,AGO,2035,143389239.7,742.99,1.06537E+11,899792.8,62727133,6682746218,95861019.68,,,,,
Angola,AGO,2036,149981117.2,742.99,1.11434E+11,899792.8,62727133,6989964839,100267934,,,,,
Angola,AGO,2037,156876035.9,742.99,1.16557E+11,899792.8,62727133,7311306887,104877442.7,,,,,
Angola,AGO,2038,164087927.3,742.99,1.21916E+11,899792.8,62727133,7647421643,109698859.2,,,,,
Angola,AGO,2039,171631363,742.99,1.2752E+11,899792.8,62727133,7998988238,114741925.5,,,,,
Angola,AGO,2040,179521584.9,742.99,1.33383E+11,899792.8,62727133,8366717021,120016831.2,,,,,
Angola,AGO,2041,188348256.6,742.99,1.39941E+11,899792.8,62727133,8778089640,125917788.3,,,,,
Angola,AGO,2042,197608915.9,742.99,1.46821E+11,899792.8,62727133,9209688524,132108882.2,,,,,
Angola,AGO,2043,207324901,742.99,1.5404E+11,899792.8,62727133,9662508153,138604378.2,,,,,
Angola,AGO,2044,217518599.1,742.99,1.61614E+11,899792.8,62727133,10137591902,145419243.1,,,,,
Angola,AGO,2045,228213498.4,742.99,1.6956E+11,899792.8,62727133,10636034449,152569179.6,,,,,
Angola,AGO,2046,239788786.2,742.99,1.78161E+11,899792.8,62727133,11175508057,160307688.3,,,,,
Angola,AGO,2047,251951187.7,742.99,1.87197E+11,899792.8,62727133,11742344474,168438704.4,,,,,
Angola,AGO,2048,264730482.2,742.99,1.96692E+11,899792.8,62727133,12337931577,176982136.3,,,,,
Angola,AGO,2049,278157959.2,742.99,2.06669E+11,899792.8,62727133,12963727638,185958902.2,,,,,
Angola,AGO,2050,292266495.5,742.99,2.17151E+11,487166.6121,13408428.28,2911654729,105788757.7,,,,,
Argentina,ARG,2020,603760991.4,1107.48,6.68653E+11,487166.6121,13408428.28,8965588781,325745525.2,,,,,
Argentina,ARG,2021,624793163.5,1107.48,6.91946E+11,487166.6121,13408428.28,9277907411,337092955.8,,,,,
Argentina,ARG,2022,646557996.7,1107.48,7.1605E+11,487166.6121,13408428.28,9601105743,348835677.1,,,,,
Argentina,ARG,2023,669081013.7,1107.48,7.40994E+11,487166.6121,13408428.28,9935562773,360987459.1,,,,,
Argentina,ARG,2024,692388625.8,1107.48,7.66807E+11,487166.6121,13408428.28,10281670701,373562551.7,,,,,
Argentina,ARG,2025,716508164.7,1107.48,7.93518E+11,487166.6121,13408428.28,10639835389,386575700.9,,,,,
Argentina,ARG,2026,723154777,1107.48,8.00879E+11,487166.6121,13408428.28,10738534699,390161729.6,,,,,
Argentina,ARG,2027,729863046,1107.48,8.08309E+11,487166.6121,13408428.28,10838149582,393781023.7,,,,,
Argentina,ARG,2028,736633543.5,1107.48,8.15807E+11,487166.6121,13408428.28,10938688533,397433891.8,,,,,
Argentina,ARG,2029,743466846.8,1107.48,8.23375E+11,487166.6121,13408428.28,11040160122,401120645.3,,,,,
Argentina,ARG,2030,750363538.5,1107.48,8.31013E+11,487166.6121,13408428.28,11142573002,404841598.6,,,,,
Argentina,ARG,2031,759564745.5,1107.48,8.41203E+11,487166.6121,13408428.28,11279206935,409805900.8,,,,,
Argentina,ARG,2032,768878780.9,1107.48,8.51518E+11,487166.6121,13408428.28,11417516319,414831077,,,,,
Argentina,ARG,2033,778307028,1107.48,8.61959E+11,487166.6121,13408428.28,11557521698,419917873.5,,,,,
Argentina,ARG,2034,787850887.4,1107.48,8.72529E+11,487166.6121,13408428.28,11699243870,425067046,,,,,
Argentina,ARG,2035,797511776.8,1107.48,8.83228E+11,487166.6121,13408428.28,11842703886,430279359.4,,,,,
Argentina,ARG,2036,807924713.5,1107.48,8.9476E+11,487166.6121,13408428.28,11997331478,435897422.8,,,,,
Argentina,ARG,2037,818473609.6,1107.48,9.06443E+11,487166.6121,13408428.28,12153978009,441588840,,,,,
Argentina,ARG,2038,829160240.4,1107.48,9.18278E+11,487166.6121,13408428.28,12312669839,447354568.8,,,,,
Argentina,ARG,2039,839986404.1,1107.48,9.30268E+11,487166.6121,13408428.28,12473433674,453195579.5,,,,,
Argentina,ARG,2040,850953922.7,1107.48,9.42414E+11,487166.6121,13408428.28,12636296567,459112855,,,,,
Argentina,ARG,2041,862498155,1107.48,9.55199E+11,487166.6121,13408428.28,12807723408,465341283.2,,,,,
Argentina,ARG,2042,874198999,1107.48,9.68158E+11,487166.6121,13408428.28,12981475864,471654207.7,,,,,
Argentina,ARG,2043,886058579.2,1107.48,9.81292E+11,487166.6121,13408428.28,13157585486,478052774.8,,,,,
Argentina,ARG,2044,898079049.2,1107.48,9.94605E+11,487166.6121,13408428.28,13336084249,484538146.3,,,,,
Argentina,ARG,2045,910262591.5,1107.48,1.0081E+12,487166.6121,13408428.28,13517004568,491111499.7,,,,,
Argentina,ARG,2046,923724461.3,1107.48,1.02301E+12,487166.6121,13408428.28,13716907493,498374545.7,,,,,
Argentina,ARG,2047,937385418.6,1107.48,1.03814E+12,487166.6121,13408428.28,13919766782,505745004.8,,,,,
Argentina,ARG,2048,951248407.7,1107.48,1.05349E+12,487166.6121,13408428.28,14125626156,513224465.6,,,,,
Argentina,ARG,2049,965316416.5,1107.48,1.06907E+12,487166.6121,13408428.28,14334529984,520814540.2,,,,,
Argentina,ARG,2050,979592477.1,1107.48,1.08488E+12,487166.6121,13408428.28,14546523290,528516864.3,,,,,
Armenia,ARM,2050,53966696.7,1048.4,56578684824,429531.0633,4688629.699,265276502,24302302.65,,,,,
Armenia,ARM,2049,53009832.43,1048.4,55575508321,429531.0633,4688629.699,260572978.8,23871407.18,,,,,
Armenia,ARM,2048,52069933.98,1048.4,54590118782,429531.0633,4688629.699,255952852.2,23448151.77,,,,,
Armenia,ARM,2047,51146700.53,1048.4,53622200834,429531.0633,4688629.699,251414643.4,23032400.94,,,,,
Armenia,ARM,2046,50239836.6,1048.4,52671444695,429531.0633,4688629.699,246956899.9,22624021.65,,,,,
Armenia,ARM,2045,49349051.96,1048.4,51737546074,429531.0633,4688629.699,242578195.1,22222883.18,,,,,
Armenia,ARM,2044,48290469.38,1048.4,50627728099,429531.0633,4688629.699,237374669.6,21746181.88,,,,,
Armenia,ARM,2043,47254594.37,1048.4,49541716741,429531.0633,4688629.699,232282764.5,21279706.27,,,,,
Armenia,ARM,2042,46240939.84,1048.4,48479001327,429531.0633,4688629.699,227300085.4,20823236.99,,,,,
Armenia,ARM,2041,45249029.13,1048.4,47439082135,429531.0633,4688629.699,222424289.4,20376559.39,,,,,
Armenia,ARM,2040,44278395.81,1048.4,46421470168,429531.0633,4688629.699,217653083.7,19939463.44,,,,,
Armenia,ARM,2039,43085400.49,1048.4,45170733878,429531.0633,4688629.699,211788844.4,19402233.35,,,,,
Armenia,ARM,2038,41924548.12,1048.4,43953696247,429531.0633,4688629.699,206082605.6,18879477.88,,,,,
Armenia,ARM,2037,40794972.65,1048.4,42769449329,429531.0633,4688629.699,200530110.3,18370807.05,,,,,
Armenia,ARM,2036,39695831.4,1048.4,41617109642,429531.0633,4688629.699,195127216.3,17875841.36,,,,,
Armenia,ARM,2035,38626304.38,1048.4,40495817509,429531.0633,4688629.699,189869892.7,17394211.55,,,,,
Armenia,ARM,2034,37363544.11,1048.4,39171939644,429531.0633,4688629.699,183662719.6,16825564.89,,,,,
Armenia,ARM,2033,36142065.64,1048.4,37891341621,429531.0633,4688629.699,177658469.7,16275508.26,,,,,
Armenia,ARM,2032,34960519.41,1048.4,36652608548,429531.0633,4688629.699,171850509,15743433.92,,,,,
Armenia,ARM,2031,33817599.95,1048.4,35454371788,429531.0633,4688629.699,166232420.5,15228754.01,,,,,
Armenia,ARM,2030,32712044.49,1048.4,34295307447,429531.0633,4688629.699,160797997,14730899.87,,,,,
Armenia,ARM,2029,31443257.76,1048.4,32965111433,429531.0633,4688629.699,154561200.5,14159539.37,,,,,
Armenia,ARM,2028,30223682.86,1048.4,31686509107,429531.0633,4688629.699,148566307.7,13610339.95,,,,,
Armenia,ARM,2027,29051411.04,1048.4,30457499331,429531.0633,4688629.699,142803935.9,13082442.07,,,,,
Armenia,ARM,2026,27924607.57,1048.4,29276158581,429531.0633,4688629.699,137265066.6,12575019.52,,,,,
Armenia,ARM,2025,26841508.91,1048.4,28140637940,429531.0633,4688629.699,131941030.8,12087278.14,,,,,
Armenia,ARM,2023,24420361.61,1048.4,25602307112,429531.0633,4688629.699,120039737.5,10996986.2,,,,,
Armenia,ARM,2024,25602331.02,1048.4,26841483842,429531.0633,4688629.699,125849778.3,11529251.1,,,,,
Armenia,ARM,2022,23292959.56,1048.4,24420338804,429531.0633,4688629.699,114497925.8,10489294.09,,,,,
Armenia,ARM,2021,22217605.69,1048.4,23292937809,429531.0633,4688629.699,109211960,10005040.34,,,,,
Armenia,ARM,2020,21191897.12,1048.4,22217584945,429531.0633,4688629.699,104170028.6,9543142.885,,,,,
Aruba,ABW,2041,4267511.527,1864.71,7957671419,487166.6121,13408428.28,106699866.5,3876711.826,,,,,
Aruba,ABW,2040,4186540.092,1864.71,7806683175,487166.6121,13408428.28,104675351.5,3803155.394,,,,,
Aruba,ABW,2039,4108388.479,1864.71,7660953080,487166.6121,13408428.28,102721339.9,3732160.558,,,,,
Aruba,ABW,2038,4031695.749,1864.71,7517943380,487166.6121,13408428.28,100803804.6,3662491.006,,,,,
Aruba,ABW,2037,3956434.669,1864.71,7377603291,487166.6121,13408428.28,98922064.61,3594122.001,,,,,
Aruba,ABW,2036,3882578.514,1864.71,7239882981,487166.6121,13408428.28,97075451.7,3527029.264,,,,,
Aruba,ABW,2035,3810101.058,1864.71,7104733544,487166.6121,13408428.28,95263310.17,3461188.971,,,,,
Aruba,ABW,2034,3740840.644,1864.71,6975582957,487166.6121,13408428.28,93531603.79,3398271.117,,,,,
Aruba,ABW,2033,3672839.253,1864.71,6848780084,487166.6121,13408428.28,91831376.55,3336496.991,,,,,
Aruba,ABW,2032,3606073.998,1864.71,6724282246,487166.6121,13408428.28,90162056.22,3275845.801,,,,,
Aruba,ABW,2031,3540522.41,1864.71,6602047542,487166.6121,13408428.28,88523080.97,3216297.134,,,,,
Aruba,ABW,2030,3476162.424,1864.71,6482034834,487166.6121,13408428.28,86913899.18,3157830.95,,,,,
Aruba,ABW,2029,3416754.116,1864.71,6371255567,487166.6121,13408428.28,85428523.32,3103862.99,,,,,
Aruba,ABW,2028,3358361.107,1864.71,6262369539,487166.6121,13408428.28,83968532.83,3050817.352,,,,,
Aruba,ABW,2027,3300966.046,1864.71,6155344396,487166.6121,13408428.28,82533493.87,2998678.276,,,,,
Aruba,ABW,2026,3244551.878,1864.71,6050148333,487166.6121,13408428.28,81122980.01,2947430.266,,,,,
Aruba,ABW,2025,3189101.84,1864.71,5946750092,487166.6121,13408428.28,79736572.11,2897058.096,,,,,
Aruba,ABW,2024,3024753.585,1864.71,5640288258,487166.6121,13408428.28,75627400.59,2747760.122,,,,,
Aruba,ABW,2023,2868874.909,1864.71,5349619732,487166.6121,13408428.28,71729992.51,2606156.121,,,,,
Aruba,ABW,2022,2721029.338,1864.71,5073930617,487166.6121,13408428.28,68033434.77,2471849.589,,,,,
Aruba,ABW,2021,2580802.89,1864.71,4812448957,487166.6121,13408428.28,64527376.69,2344464.455,,,,,
Aruba,ABW,2020,2447802.92,1864.71,4564442582,487166.6121,13408428.28,61202001,2223644.029,,,,,
Aruba,ABW,2050,5083876.803,1864.71,9479955914,487166.6121,13408428.28,127111309,4618318.006,,,,,
Aruba,ABW,2049,4984785.942,1864.71,9295180194,487166.6121,13408428.28,124633757,4528301.444,,,,,
Aruba,ABW,2048,4887626.48,1864.71,9114005974,487166.6121,13408428.28,122204495.4,4440039.413,,,,,
Aruba,ABW,2047,4792360.773,1864.71,8936363058,487166.6121,13408428.28,119822583.1,4353497.716,,,,,
Aruba,ABW,2046,4698951.909,1864.71,8762182615,487166.6121,13408428.28,117487097.2,4268642.819,,,,,
Aruba,ABW,2045,4607363.696,1864.71,8591397158,487166.6121,13408428.28,115197132.6,4185441.847,,,,,
Aruba,ABW,2044,4519943.933,1864.71,8428384651,487166.6121,13408428.28,113011391.1,4106027.596,,,,,
Aruba,ABW,2043,4434182.865,1864.71,8268465130,487166.6121,13408428.28,110867121.7,4028120.145,,,,,
Aruba,ABW,2042,4350049.021,1864.71,8111579911,487166.6121,13408428.28,108763537.5,3951690.904,,,,,
Australia,AUS,2020,976261691.4,2802.48,2.73595E+12,396060.7997,5240848.419,14338719486,1083604076,,,,,
Australia,AUS,2021,1002439236,2802.48,2.80932E+12,396060.7997,5240848.419,14723198842,1112659906,,,,,
Australia,AUS,2022,1029318707,2802.48,2.88465E+12,396060.7997,5240848.419,15117987654,1142494841,,,,,
Australia,AUS,2023,1056918925,2802.48,2.96199E+12,396060.7997,5240848.419,15523362358,1173129772,,,,,
Australia,AUS,2024,1085259218,2802.48,3.04142E+12,396060.7997,5240848.419,15939606805,1204586150,,,,,
Australia,AUS,2025,1114359429,2802.48,3.12297E+12,396060.7997,5240848.419,16367012459,1236886001,,,,,
Australia,AUS,2026,1134045547,2802.48,3.17814E+12,396060.7997,5240848.419,16656149803,1258736656,,,,,
Australia,AUS,2027,1154079436,2802.48,3.23428E+12,396060.7997,5240848.419,16950395007,1280973321,,,,,
Australia,AUS,2028,1174467241,2802.48,3.29142E+12,396060.7997,5240848.419,17249838306,1303602816,,,,,
Australia,AUS,2029,1195215215,2802.48,3.34957E+12,396060.7997,5240848.419,17554571527,1326632080,,,,,
Australia,AUS,2030,1216329719,2802.48,3.40874E+12,396060.7997,5240848.419,17864688123,1350068176,,,,,
Australia,AUS,2031,1235772751,2802.48,3.46323E+12,396060.7997,5240848.419,18150255190,1371649018,,,,,
Australia,AUS,2032,1255526581,2802.48,3.51859E+12,396060.7997,5240848.419,18440387047,1393574829,,,,,
Australia,AUS,2033,1275596175,2802.48,3.57483E+12,396060.7997,5240848.419,18735156661,1415851125,,,,,
Australia,AUS,2034,1295986582,2802.48,3.63198E+12,396060.7997,5240848.419,19034638169,1438483508,,,,,
Australia,AUS,2035,1316702929,2802.48,3.69003E+12,396060.7997,5240848.419,19338906889,1461477669,,,,,
Australia,AUS,2036,1336735428,2802.48,3.74617E+12,396060.7997,5240848.419,19633131671,1483712790,,,,,
Australia,AUS,2037,1357072704,2802.48,3.80317E+12,396060.7997,5240848.419,19931832829,1506286200,,,,,
Australia,AUS,2038,1377719395,2802.48,3.86103E+12,396060.7997,5240848.419,20235078467,1529203045,,,,,
Australia,AUS,2039,1398680206,2802.48,3.91977E+12,396060.7997,5240848.419,20542937726,1552468550,,,,,
Australia,AUS,2040,1419959919,2802.48,3.97941E+12,396060.7997,5240848.419,20855480799,1576088019,,,,,
Australia,AUS,2041,1441922932,2802.48,4.04096E+12,396060.7997,5240848.419,21178059758,1600465920,,,,,
Australia,AUS,2042,1464225654,2802.48,4.10346E+12,396060.7997,5240848.419,21505628157,1625220881,,,,,
Australia,AUS,2043,1486873341,2802.48,4.16693E+12,396060.7997,5240848.419,21838263171,1650358737,,,,,
Australia,AUS,2044,1509871326,2802.48,4.23138E+12,396060.7997,5240848.419,22176043167,1675885408,,,,,
Australia,AUS,2045,1533225030,2802.48,4.29683E+12,396060.7997,5240848.419,22519047722,1701806909,,,,,
Australia,AUS,2046,1556563237,2802.48,4.36224E+12,396060.7997,5240848.419,22861824667,1727711210,,,,,
