Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,12/19/23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Botswana,BWA,Urban land area (sq. km),AG.LND.TOTL.UR.K2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,489.348632,,,,,,,,,,659.1253073,,,,,,,,,,,,,,,804.3459935,,,,,,,
Central African Republic,CAF,Urban land area (sq. km),AG.LND.TOTL.UR.K2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354.092946,,,,,,,,,,438.3968809,,,,,,,,,,,,,,,535.375881,,,,,,,
Canada,CAN,Urban land area (sq. km),AG.LND.TOTL.UR.K2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11777.16787,,,,,,,,,,12775.56176,,,,,,,,,,,,,,,13983.1143,,,,,,,
Central Europe and the Baltics,CEB,Urban land area (sq. km),AG.LND.TOTL.UR.K2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34237.64489,,,,,,,,,,35476.85815,,,,,,,,,,,,,,,36530.91798,,,,,,,
Switzerland,CHE,Urban land area (sq. km),AG.LND.TOTL.UR.K2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3066.311175,,,,,,,,,,3388.77418,,,,,,,,,,,,,,,4016.815073,,,,,,,
Channel Islands,CHI,Urban land area (sq. km),AG.LND.TOTL.UR.K2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,Urban land area (sq. km),AG.LND.TOTL.UR.K2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2594.719417,,,,,,,,,,3089.196377,,,,,,,,,,,,,,,3579.670357,,,,,,,
China,CHN,Urban land area (sq. km),AG.LND.TOTL.UR.K2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362455.8024,,,,,,,,,,436715.3899,,,,,,,,,,,,,,,522345.1853,,,,,,,
Cote d'Ivoire,CIV,Urban land area (sq. km),AG.LND.TOTL.UR.K2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1763.425238,,,,,,,,,,2333.262003,,,,,,,,,,,,,,,2981.956895,,,,,,,
Cameroon,CMR,Urban land area (sq. km),AG.LND.TOTL.UR.K2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1564.197661,,,,,,,,,,1999.386915,,,,,,,,,,,,,,,2352.111042,,,,,,,
"Congo, Dem. Rep.",COD,Urban land area (sq. km),AG.LND.TOTL.UR.K2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3519.055722,,,,,,,,,,4835.311195,,,,,,,,,,,,,,,7232.345419,,,,,,,
"Congo, Rep.",COG,Urban land area (sq. km),AG.LND.TOTL.UR.K2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,343.5117811,,,,,,,,,,444.1712672,,,,,,,,,,,,,,,420.2625751,,,,,,,
Colombia,COL,Urban land area (sq. km),AG.LND.TOTL.UR.K2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4018.978497,,,,,,,,,,4621.650624,,,,,,,,,,,,,,,5114.558454,,,,,,,
Comoros,COM,Urban land area (sq. km),AG.LND.TOTL.UR.K2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.58986128,,,,,,,,,,67.72459359,,,,,,,,,,,,,,,142.534154,,,,,,,
Cabo Verde,CPV,Urban land area (sq. km),AG.LND.TOTL.UR.K2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.22070506,,,,,,,,,,54.82349152,,,,,,,,,,,,,,,59.55432677,,,,,,,
Costa Rica,CRI,Urban land area (sq. km),AG.LND.TOTL.UR.K2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,963.949333,,,,,,,,,,1204.71339,,,,,,,,,,,,,,,1475.943583,,,,,,,
Caribbean small states,CSS,Urban land area (sq. km),AG.LND.TOTL.UR.K2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2285.072238,,,,,,,,,,2664.096466,,,,,,,,,,,,,,,3051.107181,,,,,,,
Cuba,CUB,Urban land area (sq. km),AG.LND.TOTL.UR.K2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2455.196358,,,,,,,,,,2749.245639,,,,,,,,,,,,,,,3053.184682,,,,,,,
Curacao,CUW,Urban land area (sq. km),AG.LND.TOTL.UR.K2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.8880021,,,,,,,,,,111.7992243,,,,,,,,,,,,,,,118.1189284,,,,,,,
Cayman Islands,CYM,Urban land area (sq. km),AG.LND.TOTL.UR.K2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0395442,,,,,,,,,,27.61728554,,,,,,,,,,,,,,,43.96772397,,,,,,,
Cyprus,CYP,Urban land area (sq. km),AG.LND.TOTL.UR.K2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,316.2128048,,,,,,,,,,396.8776717,,,,,,,,,,,,,,,518.9803766,,,,,,,
Czechia,CZE,Urban land area (sq. km),AG.LND.TOTL.UR.K2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3545.584423,,,,,,,,,,3671.506245,,,,,,,,,,,,,,,4023.399313,,,,,,,
Germany,DEU,Urban land area (sq. km),AG.LND.TOTL.UR.K2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34563.29116,,,,,,,,,,36535.10151,,,,,,,,,,,,,,,36996.44357,,,,,,,
Djibouti,DJI,Urban land area (sq. km),AG.LND.TOTL.UR.K2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.53196288,,,,,,,,,,37.29893894,,,,,,,,,,,,,,,51.25016234,,,,,,,
Dominica,DMA,Urban land area (sq. km),AG.LND.TOTL.UR.K2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.19067002,,,,,,,,,,18.84263764,,,,,,,,,,,,,,,20.99940263,,,,,,,
Denmark,DNK,Urban land area (sq. km),AG.LND.TOTL.UR.K2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017.384096,,,,,,,,,,2103.765318,,,,,,,,,,,,,,,2235.486537,,,,,,,
