Country Name,iso3c,year,total_building_stock_m2,BEC (toe/m2),BCE (tCO2e/m2),DBE (tCO2e/m2),Building Energy Consumption (toe),Building Carbon Emissions (tCO2e),Direct Building Emissions (tCO2e)
Serbia,SRB,2026,114937385.62117521,0.004270395860218877,0.26140681782870173,0.025915331077845428,490828.13574104727,30045416.224781793,2978640.4015947464
Serbia,SRB,2027,119340095.17219298,0.004270395860218877,0.26140681782870173,0.025915331077845428,509629.44838145963,31196314.518337376,3092738.0772489635
Serbia,SRB,2028,123911451.7764377,0.004270395860218877,0.26140681782870173,0.025915331077845428,529150.9506998105,32391298.30141321,3211206.297122861
Serbia,SRB,2029,128657915.50769639,0.004270395860218877,0.26140681782870173,0.025915331077845428,549420.2297684567,33632056.28134089,3334212.4761674153
Serbia,SRB,2030,133586193.89473686,0.004270395860218877,0.26140681782870173,0.025915331077845428,570465.9293904805,34920341.8518711,3461930.4422113593
Serbia,SRB,2031,137605128.31929225,0.004270395860218877,0.26140681782870173,0.025915331077845428,587628.3703195929,35970918.710856356,3566082.4584038625
Serbia,SRB,2032,141744972.19891906,0.004270395860218877,0.26140681782870173,0.025915331077845428,605307.1424851037,37053102.12573723,3673367.883154983
Serbia,SRB,2033,146009363.08894452,0.004270395860218877,0.26140681782870173,0.025915331077845428,623517.7796882236,38167842.97827649,3783880.9849153413
Serbia,SRB,2034,150402047.98037836,0.004270395860218877,0.26140681782870173,0.025915331077845428,642276.2830638486,39316120.75747042,3897718.8681974984
Serbia,SRB,2035,154926886.5922807,0.004270395860218877,0.26140681782870173,0.025915331077845428,661599.1351402749,40498944.42019625,4014981.5588987656
Serbia,SRB,2036,158661870.6978847,0.004270395860218877,0.26140681782870173,0.025915331077845428,677548.9958028296,41475294.72988298,4111774.9085659846
Serbia,SRB,2037,162486897.96240038,0.004270395860218877,0.26140681782870173,0.025915331077845428,693883.3763984416,42475182.935208045,4210901.756507694
Serbia,SRB,2038,166404139.15021044,0.004270395860218877,0.26140681782870173,0.025915331077845428,710611.5469503446,43499176.488781,4312418.358801563
Serbia,SRB,2039,170415817.35857973,0.004270395860218877,0.26140681782870173,0.025915331077845428,727743.0009638951,44547856.52338356,4416382.327749232
Serbia,SRB,2040,174524209.27929825,0.004270395860218877,0.26140681782870173,0.025915331077845428,745287.4608142881,45621818.18177173,4522852.664572197
Serbia,SRB,2041,178022515.83465526,0.004270395860218877,0.26140681782870173,0.025915331077845428,760226.6146460612,46536299.36619689,4613512.4371660715
