Country,iso3c,Year,extraction_5.4
South Korea,KOR,2046,807554377.5688705
South Korea,KOR,2047,817393090.2282372
South Korea,KOR,2048,827231802.8876038
South Korea,KOR,2049,837070515.5469704
South Korea,KOR,2050,846909228.206337
South Yemen,NA,2021,-20455.76470588334
South Yemen,NA,2022,-22111.755656109657
South Yemen,NA,2023,-23767.746606335975
South Yemen,NA,2024,-25423.737556562293
South Yemen,NA,2025,-27079.728506788146
South Yemen,NA,2026,-28735.719457014464
South Yemen,NA,2027,-30391.710407240782
South Yemen,NA,2028,-32047.7013574671
South Yemen,NA,2029,-33703.69230769342
South Yemen,NA,2030,-35359.68325791927
South Yemen,NA,2031,-37015.67420814559
South Yemen,NA,2032,-38671.66515837191
South Yemen,NA,2033,-40327.656108598225
South Yemen,NA,2034,-41983.64705882454
South Yemen,NA,2035,-43639.63800905086
South Yemen,NA,2036,-45295.62895927671
South Yemen,NA,2037,-46951.61990950303
South Yemen,NA,2038,-48607.61085972935
South Yemen,NA,2039,-50263.60180995567
South Yemen,NA,2040,-51919.592760181986
South Yemen,NA,2041,-53575.58371040784
South Yemen,NA,2042,-55231.574660634156
South Yemen,NA,2043,-56887.565610860474
South Yemen,NA,2044,-58543.55656108679
South Yemen,NA,2045,-60199.54751131311
South Yemen,NA,2046,-61855.53846153896
South Yemen,NA,2047,-63511.52941176528
South Yemen,NA,2048,-65167.5203619916
South Yemen,NA,2049,-66823.51131221792
South Yemen,NA,2050,-68479.50226244424
Spain,ESP,2021,429819056.8815708
Spain,ESP,2022,433724194.36872005
Spain,ESP,2023,437629331.8558693
Spain,ESP,2024,441534469.34301853
Spain,ESP,2025,445439606.8301678
Spain,ESP,2026,449344744.317317
Spain,ESP,2027,453249881.80446625
Spain,ESP,2028,457155019.29161644
Spain,ESP,2029,461060156.7787657
Spain,ESP,2030,464965294.2659149
Spain,ESP,2031,468870431.75306416
Spain,ESP,2032,472775569.2402134
Spain,ESP,2033,476680706.72736263
Spain,ESP,2034,480585844.2145119
Spain,ESP,2035,484490981.7016611
Spain,ESP,2036,488396119.18881035
Spain,ESP,2037,492301256.6759596
Spain,ESP,2038,496206394.1631088
Spain,ESP,2039,500111531.65025806
Spain,ESP,2040,504016669.1374073
Spain,ESP,2041,507921806.62455654
Spain,ESP,2042,511826944.11170673
Spain,ESP,2043,515732081.598856
Spain,ESP,2044,519637219.0860052
Spain,ESP,2045,523542356.57315445
Spain,ESP,2046,527447494.0603037
Spain,ESP,2047,531352631.5474529
Spain,ESP,2048,535257769.03460217
Spain,ESP,2049,539162906.5217514
Spain,ESP,2050,543068044.0089006
Sri Lanka,LKA,2021,46471691.35607886
Sri Lanka,LKA,2022,47456522.74232316
Sri Lanka,LKA,2023,48441354.12856746
Sri Lanka,LKA,2024,49426185.514811754
Sri Lanka,LKA,2025,50411016.90105605
Sri Lanka,LKA,2026,51395848.28730059
Sri Lanka,LKA,2027,52380679.673544884
Sri Lanka,LKA,2028,53365511.05978918
Sri Lanka,LKA,2029,54350342.44603348
Sri Lanka,LKA,2030,55335173.832277775
Sri Lanka,LKA,2031,56320005.21852207
Sri Lanka,LKA,2032,57304836.60476661
Sri Lanka,LKA,2033,58289667.991010904
Sri Lanka,LKA,2034,59274499.3772552
