,Country Name,iso3c,Population,year,Average household size (number of members),gdp_ppp,GDP,average_household_size,num_households,gdp_per_capita,avg_m2_capita,residential_building_stock_m2,total_building_stock_m2,,
59,Albania,ALB,2766215,2023,3.3,43.45170203,43451702031,3.3,838246.9697,15707.99885,15.70799885,43451702.03,86903404.06,,
60,Albania,ALB,2775634,2022,3.3,41.7766837,41776683704,3.3,841101.2121,15051.22206,15.05122206,41776683.7,83553367.41,,
61,Albania,ALB,2811666,2021,3.3,40.16623561,40166235607,3.3,852020,14285.56436,14.28556436,40166235.61,80332471.21,,
62,Albania,ALB,2837849,2020,3.3,38.61786863,38617868625,3.3,859954.2424,13608.1478,13.6081478,38617868.63,77235737.25,,
63,Algeria,DZA,43451666,2020,4.94,467.3123987,4.67312E+11,4.94,8795883.806,10754.76366,10.75476366,467312398.7,934624797.3,,
64,Algeria,DZA,44177969,2021,4.94,481.30491,4.81305E+11,4.94,8942908.704,10894.68169,10.89468169,481304910,962609820,,
65,Algeria,DZA,44903225,2022,4.94,495.7163924,4.95716E+11,4.94,9089721.66,11039.66124,11.03966124,495716392.4,991432784.8,,
66,Algeria,DZA,45606480,2023,4.94,510.5593909,5.10559E+11,4.94,9232080.972,11194.88702,11.19488702,510559390.9,1021118782,,
67,Algeria,DZA,46278751,2024,4.94,525.8468263,5.25847E+11,4.94,9368168.219,11362.59763,11.36259763,525846826.3,1051693653,,
68,Algeria,DZA,46922031,2025,4.94,541.5920059,5.41592E+11,4.94,9498386.842,11542.382,11.542382,541592005.9,1083184012,,
69,Algeria,DZA,47538087,2026,4.94,557.3355918,5.57336E+11,4.94,9623094.534,11723.98022,11.72398022,557335591.8,1114671184,,
70,Algeria,DZA,48130008,2027,4.94,573.5368293,5.73537E+11,4.94,9742916.599,11916.40835,11.91640835,573536829.3,1147073659,,
71,Algeria,DZA,48700234,2028,4.94,590.2090221,5.90209E+11,4.94,9858346.964,12119.22354,12.11922354,590209022.1,1180418044,,
72,Algeria,DZA,49251258,2029,4.94,607.3658602,6.07366E+11,4.94,9969890.283,12331.98673,12.33198673,607365860.2,1214731720,,
73,Algeria,DZA,49787283,2030,4.94,625.0214321,6.25021E+11,4.94,10078397.37,12553.83693,12.55383693,625021432.1,1250042864,,
74,Algeria,DZA,50311560,2031,4.94,640.2768806,6.40277E+11,4.94,10184526.32,12726.23788,12.72623788,640276880.6,1280553761,,
75,Algeria,DZA,50826981,2032,4.94,655.9046823,6.55905E+11,4.94,10288862.55,12904.65555,12.90465555,655904682.3,1311809365,,
76,Algeria,DZA,51336846,2033,4.94,671.9139255,6.71914E+11,4.94,10392074.09,13088.3367,13.0883367,671913925.5,1343827851,,
77,Algeria,DZA,51845003,2034,4.94,688.3139204,6.88314E+11,4.94,10494939.88,13276.37922,13.27637922,688313920.4,1376627841,,
78,Algeria,DZA,52352520,2035,4.94,705.1142045,7.05114E+11,4.94,10597676.11,13468.58192,13.46858192,705114204.5,1410228409,,
79,Algeria,DZA,52860879,2036,4.94,721.7933554,7.21793E+11,4.94,10700582.79,13654.58481,13.65458481,721793355.4,1443586711,,
80,Algeria,DZA,53371371,2037,4.94,738.8670439,7.38867E+11,4.94,10803921.26,13843.88353,13.84388353,738867043.9,1477734088,,
81,Algeria,DZA,53883769,2038,4.94,756.3446026,7.56345E+11,4.94,10907645.55,14036.59426,14.03659426,756344602.6,1512689205,,
82,Algeria,DZA,54398757,2039,4.94,774.2355849,7.74236E+11,4.94,11011894.13,14232.59699,14.23259699,774235584.9,1548471170,,
83,Algeria,DZA,54917437,2040,4.94,792.5497701,7.9255E+11,4.94,11116890.08,14431.65984,14.43165984,792549770.1,1585099540,,
84,Algeria,DZA,55440658,2041,4.94,812.179355,8.12179E+11,4.94,11222805.26,14649.52589,14.64952589,812179355,1624358710,,
85,Algeria,DZA,55965060,2042,4.94,832.2951183,8.32295E+11,4.94,11328959.51,14871.6917,14.8716917,832295118.3,1664590237,,
86,Algeria,DZA,56488986,2043,4.94,852.9091015,8.52909E+11,4.94,11435017.41,15098.67962,15.09867962,852909101.5,1705818203,,
87,Algeria,DZA,57012291,2044,4.94,874.0336443,8.74034E+11,4.94,11540949.6,15330.61782,15.33061782,874033644.3,1748067289,,
88,Algeria,DZA,57533658,2045,4.94,895.6813922,8.95681E+11,4.94,11646489.47,15567.95489,15.56795489,895681392.2,1791362784,,
89,Algeria,DZA,58050507,2046,4.94,919.0623168,9.19062E+11,4.94,11751114.78,15832.11524,15.83211524,919062316.8,1838124634,,
90,Algeria,DZA,58559198,2047,4.94,943.0535785,9.43054E+11,4.94,11854088.66,16104.27756,16.10427756,943053578.5,1886107157,,
91,Algeria,DZA,59055401,2048,4.94,967.6711096,9.67671E+11,4.94,11954534.62,16385.81896,16.38581896,967671109.6,1935342219,,
92,Algeria,DZA,59535713,2049,4.94,992.9312584,9.92931E+11,4.94,12051763.77,16677.90992,16.67790992,992931258.4,1985862517,,
93,Algeria,DZA,60001113,2050,4.94,1018.8508,1.01885E+12,4.94,12145974.29,16980.53167,16.98053167,1018850800,2037701599,,
94,Angola,AGO,33428486,2020,4.82,197.9695381,1.9797E+11,4.82,6935370.539,5922.180803,5.922180803,197969538.1,395939076.1,,
95,Angola,AGO,34503774,2021,4.82,203.9292832,2.03929E+11,4.82,7158459.336,5910.347174,5.910347174,203929283.2,407858566.3,,
96,Angola,AGO,35588987,2022,4.82,210.0684425,2.10068E+11,4.82,7383607.261,5902.624947,5.902624947,210068442.5,420136885,,
97,Angola,AGO,36684202,2023,4.82,216.3924173,2.16392E+11,4.82,7610830.29,5898.790365,5.898790365,216392417.3,432784834.6,,
98,Angola,AGO,37804634,2024,4.82,222.9067713,2.22907E+11,4.82,7843285.062,5896.28169,5.89628169,222906771.3,445813542.5,,
99,Angola,AGO,38942791,2025,4.82,229.6172356,2.29617E+11,4.82,8079417.22,5896.270651,5.896270651,229617235.6,459234471.3,,
100,Angola,AGO,40099526,2026,4.82,238.9597691,2.3896E+11,4.82,8319403.734,5959.166927,5.959166927,238959769.1,477919538.2,,
101,Angola,AGO,41274799,2027,4.82,248.6824262,2.48682E+11,4.82,8563236.307,6025.042695,6.025042695,248682426.2,497364852.4,,
102,Angola,AGO,42468711,2028,4.82,258.8006732,2.58801E+11,4.82,8810935.892,6093.914015,6.093914015,258800673.2,517601346.4,,
103,Angola,AGO,43680934,2029,4.82,269.3306055,2.69331E+11,4.82,9062434.44,6165.861873,6.165861873,269330605.5,538661211.1,,
104,Angola,AGO,44911664,2030,4.82,280.2889737,2.80289E+11,4.82,9317772.614,6240.894875,6.240894875,280288973.7,560577947.4,,
105,Angola,AGO,46161755,2031,4.82,292.2749074,2.92275E+11,4.82,9577127.593,6331.538032,6.331538032,292274907.4,584549814.8,,
106,Angola,AGO,47428242,2032,4.82,304.7733929,3.04773E+11,4.82,9839884.232,6425.989664,6.425989664,304773392.9,609546785.8,,
107,Angola,AGO,48710079,2033,4.82,317.8063483,3.17806E+11,4.82,10105825.52,6524.4474,6.5244474,317806348.3,635612696.5,,
108,Angola,AGO,50007927,2034,4.82,331.396629,3.31397E+11,4.82,10375088.59,6626.881953,6.626881953,331396629,662793257.9,,
