iso3c,year,Total_Access,Urban_Access,Rural_Access,Country Name,BEC (toe/m2),BCE (tCO2e/m2),DBE (tCO2e/m2),total_building_stock_m2,Building Energy Consumption (toe),Building Carbon Emissions (tCO2e),Direct Building Emissions (tCO2e)
IND,2033,76.91322979,100,59.06923838,India,0.001183963742518358,0.029085462206484492,0.006619285365686702,34148487870.013,40430571.49992334,993224553.3518572,226038586.0183069
IND,2034,77.70724452,100,59.70454468,India,0.001183963742518358,0.029085462206484492,0.006619285365686702,35564398599.9506,42106958.466812156,1034406971.3752131,235410903.19210166
IND,2035,78.50945628,100,60.34668388,India,0.001183963742518358,0.029085462206484492,0.006619285365686702,37039017733.106,43852854.054492004,1077296950.4415636,245171828.0401588
IND,2036,79.31994967,100,60.99572946,India,0.001183963742518358,0.029085462206484492,0.006619285365686702,38494950087.8833,45576625.1741077,1119643415.9216366,254809059.76956597
IND,2037,80.13881021,100,61.65175571,India,0.001183963742518358,0.029085462206484492,0.006619285365686702,40008112335.6606,47368154.412023604,1163654439.2916424,264825112.49218783
IND,2038,80.96612427,100,62.31483771,India,0.001183963742518358,0.029085462206484492,0.006619285365686702,41580754073.1597,49230105.20919361,1209395451.1120126,275234876.93068373
IND,2039,81.80197911,100,62.98505134,India,0.001183963742518358,0.029085462206484492,0.006619285365686702,43215213324.4115,51165245.701299444,1256934453.8923357,286053829.133306
IND,2040,82.64646291,100,63.66247331,India,0.001183963742518358,0.029085462206484492,0.006619285365686702,44913920016.662,53176452.83409733,1306342123.18969,297298053.48191386
IND,2041,83.49966475,100,64.34718114,India,0.001183963742518358,0.029085462206484492,0.006619285365686702,46577576839.1314,55146162.1918944,1354730350.8241837,308310272.7404104
IND,2042,84.36167463,100,65.0392532,India,0.001183963742518358,0.029085462206484492,0.006619285365686702,48302857185.4866,57188831.56765848,1404910927.1336884,319730395.6887462
IND,2043,85.23258348,100,65.73876869,India,0.001183963742518358,0.029085462206484492,0.006619285365686702,50092043653.1026,59307163.47392031,1456950242.517887,331573531.4903215
IND,2044,86.11248317,100,66.44580766,India,0.001183963742518358,0.029085462206484492,0.006619285365686702,51947503389.0598,61503960.52699632,1510917146.5437238,343855348.9671639
IND,2045,87.00146651,100,67.16045104,India,0.001183963742518358,0.029085462206484492,0.006619285365686702,53871691221.95,63782129.15493329,1566883039.035429,356592097.3302464
IND,2046,87.89962729,100,67.88278061,India,0.001183963742518358,0.029085462206484492,0.006619285365686702,55748891061.3611,66004665.70225731,1621482264.0186393,369017818.75572973
IND,2047,88.80706024,100,68.61287903,India,0.001183963742518358,0.029085462206484492,0.006619285365686702,57691503349.4471,68304648.21712177,1677984040.305617,381876523.84546053
IND,2048,89.72386109,100,69.35082987,India,0.001183963742518358,0.029085462206484492,0.006619285365686702,59701807432.4725,70684775.36286046,1736454663.7359939,395183300.24281085
IND,2049,90.65012654,100,70.09671758,India,0.001183963742518358,0.029085462206484492,0.006619285365686702,61782162082.2468,73147839.8397727,1796962740.2780886,408953761.3315001
IND,2050,91.58595431,100,70.85062753,India,0.001183963742518358,0.029085462206484492,0.006619285365686702,63935008263.768,75696731.6619129,1859579266.5270977,423204064.5554179
IRL,2020,100,100,100,Ireland,4.331841614263144e-4,0.015674686661850006,0.00827888380027289,905919225.458,392429.86,14200000,7500000
IRL,2021,100,100,100,Ireland,4.331841614263144e-4,0.015674686661850006,0.00827888380027289,966800873.93407,418802.825841358,15154300.763319295,8004032.093302445
IRL,2022,100,100,100,Ireland,4.331841614263144e-4,0.015674686661850006,0.00827888380027289,1031774029.70682,446948.16783999803,16172734.621488724,8541937.300082073
IRL,2023,100,100,100,Ireland,4.331841614263144e-4,0.015674686661850006,0.00827888380027289,1101113659.57458,476984.99725787464,17259611.592914514,9115992.038511189
IRL,2024,100,100,100,Ireland,4.331841614263144e-4,0.015674686661850006,0.00827888380027289,1175113209.28116,509040.43014344445,18419531.347683154,9728625.711804483
IRL,2025,100,100,100,Ireland,4.331841614263144e-4,0.015674686661850006,0.00827888380027289,1254085845.38,543250.125287546,19657402.673392776,10382430.989468016
IRL,2026,100,100,100,Ireland,4.331841614263144e-4,0.015674686661850006,0.00827888380027289,1285939276.76785,557048.5272518423,20156695.22950206,10646141.84656799
IRL,2027,100,100,100,Ireland,4.331841614263144e-4,0.015674686661850006,0.00827888380027289,1318601776.44629,571197.4047851346,20668669.677554384,10916550.886032246
IRL,2028,100,100,100,Ireland,4.331841614263144e-4,0.015674686661850006,0.00827888380027289,1352093894.5247,585705.6598693217,21193648.134075142,11193828.23982842
IRL,2029,100,100,100,Ireland,4.331841614263144e-4,0.015674686661850006,0.00827888380027289,1386436703.0795,600582.4205941573,21731960.897259533,11478148.361228628
IRL,2030,100,100,100,Ireland,4.331841614263144e-4,0.015674686661850006,0.00827888380027289,1421651809.412,615837.0469003398,22283946.6547852,11769690.134569649
